hiLocus	iLocus	Species	Protein
HILC-24	AmelILC-12132	Amel	XP_016770249.1
HILC-24	Amh3ILC-12060	Amh3	XP_026299492.1
HILC-25	Am32ILC-17969	Am32	GB41850-PA
HILC-25	AmelILC-08861	Amel	XP_006564581.1
HILC-25	Amh3ILC-08582	Amh3	XP_006564583.2
HILC-26	Am32ILC-09475	Am32	GB47628-PA
HILC-26	AmelILC-15590	Amel	XP_016772405.1
HILC-26	Amh3ILC-15477	Amh3	XP_026301618.1
HILC-27	Am32ILC-12072	Am32	GB49642-PA
HILC-27	AmelILC-04143	Amel	XP_016767072.1
HILC-27	Amh3ILC-04104	Amh3	XP_026295830.1
HILC-28	Am32ILC-03073	Am32	GB48355-PA
HILC-28	AmelILC-10349	Amel	XP_016769985.1
HILC-28	Amh3ILC-10240	Amh3	XP_026299209.1
HILC-29	Am32ILC-07160	Am32	GB54130-PA
HILC-29	AmelILC-13954	Amel	XP_016771709.1
HILC-29	Amh3ILC-13908	Amh3	XP_026300936.1
HILC-30	Am32ILC-08173	Am32	GB49432-PA
HILC-30	AmelILC-14630	Amel	XP_006560766.1
HILC-30	Amh3ILC-14571	Amh3	XP_006560766.2
HILC-31	Am32ILC-12641	Am32	GB53104-PA
HILC-31	AmelILC-04224	Amel	XP_006558731.1
HILC-31	Amh3ILC-04278	Amh3	XP_006558731.2
HILC-32	Am32ILC-07557	Am32	GB41634-PA
HILC-32	AmelILC-14239	Amel	XP_006565799.1
HILC-32	Amh3ILC-14166	Amh3	XP_026300905.1
HILC-33	Am32ILC-20392	Am32	GB49929-PA
HILC-33	AmelILC-16889	Amel	XP_006572347.1
HILC-33	Amh3ILC-11128	Amh3	XP_026299731.1
HILC-34	Am32ILC-00129	Am32	GB40808-PA
HILC-34	AmelILC-00489	Amel	XP_016768803.1
HILC-34	Amh3ILC-00548	Amh3	XP_026301790.1
HILC-35	Am32ILC-08356	Am32	GB47938-PA
HILC-35	AmelILC-14777	Amel	XP_006562665.1
HILC-35	Amh3ILC-08335	Amh3	XP_026298016.1
HILC-36	Am32ILC-00393	Am32	GB48972-PA
HILC-36	AmelILC-00695	Amel	XP_016766417.1
HILC-36	Amh3ILC-00635	Amh3	XP_016766438.1
HILC-37	Am32ILC-10842	Am32	GB43459-PA
HILC-37	AmelILC-02288	Amel	XP_016766203.1
HILC-37	Amh3ILC-02227	Amh3	XP_006559161.1
HILC-38	Am32ILC-03306	Am32	GB52613-PA
HILC-38	AmelILC-10518	Amel	XP_006565618.1
HILC-38	Amh3ILC-10406	Amh3	XP_006565618.1
HILC-39	Am32ILC-12496	Am32	GB52997-PA
HILC-39	AmelILC-04989	Amel	XP_016767212.1
HILC-39	Amh3ILC-04984	Amh3	XP_026295941.1
HILC-40	Am32ILC-13253	Am32	GB42022-PA
HILC-40	AmelILC-05435	Amel	XP_006564268.1
HILC-40	Amh3ILC-05443	Amh3	XP_006564268.2
HILC-41	Am32ILC-09344	Am32	GB51344-PA
HILC-41	AmelILC-15482	Amel	XP_016772531.1
HILC-41	Amh3ILC-15326	Amh3	XP_026301681.1
HILC-42	Am32ILC-04787	Am32	GB45260-PA
HILC-42	AmelILC-11991	Amel	XP_006566732.1
HILC-42	Amh3ILC-11873	Amh3	XP_006566732.1
HILC-43	Am32ILC-17752	Am32	GB54507-PA
HILC-43	AmelILC-08514	Amel	XP_016768851.1
HILC-43	Amh3ILC-08384	Amh3	XP_026298285.1
HILC-44	Am32ILC-15474	Am32	GB42374-PA
HILC-44	AmelILC-07005	Amel	XP_016768100.1
HILC-44	Amh3ILC-06898	Amh3	XP_026297344.1
HILC-45	Am32ILC-12470	Am32	GB53008-PA
HILC-45	AmelILC-04960	Amel	XP_016767215.1
HILC-45	Amh3ILC-05011	Amh3	XP_026295922.1
HILC-46	Am32ILC-12055	Am32	GB53632-PA
HILC-46	AmelILC-03811	Amel	XP_006564076.1
HILC-46	Amh3ILC-03783	Amh3	XP_003250371.3
HILC-47	Am32ILC-17402	Am32	GB41119-PA
HILC-47	AmelILC-08244	Amel	XP_006558974.1
HILC-47	Amh3ILC-08043	Amh3	XP_026298326.1
HILC-48	Am32ILC-04091	Am32	GB54030-PA
HILC-48	AmelILC-11359	Amel	XP_006562478.1
HILC-48	Amh3ILC-11287	Amh3	XP_006562478.2
HILC-49	Am32ILC-05159	Am32	GB52239-PA
HILC-49	AmelILC-11118	Amel	XP_016770338.1
HILC-49	Amh3ILC-10953	Amh3	XP_026299358.1
HILC-50	Am32ILC-18822	Am32	GB53315-PA
HILC-50	AmelILC-09951	Amel	XP_006567514.1
HILC-50	Amh3ILC-09777	Amh3	XP_006567514.2
HILC-51	Am32ILC-09330	Am32	GB51276-PA
HILC-51	AmelILC-15475	Amel	XP_006559445.1
HILC-51	Amh3ILC-15333	Amh3	XP_006559444.2
HILC-52	Am32ILC-11769	Am32	GB55808-PA
HILC-52	AmelILC-03565	Amel	XP_016766745.1
HILC-52	Amh3ILC-03627	Amh3	XP_016766742.1
HILC-53	Am32ILC-12532	Am32	GB52985-PA
HILC-53	AmelILC-05026	Amel	XP_016767278.1
HILC-53	Amh3ILC-04950	Amh3	XP_006569403.2
HILC-54	Am32ILC-09352	Am32	GB51349-PA
HILC-54	AmelILC-15491	Amel	XP_016772404.1
HILC-54	Amh3ILC-15317	Amh3	XP_026301567.1
HILC-55	Am32ILC-17973	Am32	GB41852-PA
HILC-55	AmelILC-08857	Amel	XP_016769127.1
HILC-55	Amh3ILC-08585	Amh3	XP_026297829.1
HILC-56	Am32ILC-00141	Am32	GB40766-PA
HILC-56	AmelILC-00501	Amel	XP_016770479.1
HILC-56	Amh3ILC-00535	Amh3	XP_026295307.1
HILC-57	Am32ILC-00651	Am32	GB47688-PA
HILC-57	AmelILC-00152	Amel	XP_392166.5
HILC-57	Amh3ILC-00101	Amh3	XP_026301836.1
HILC-58	Am32ILC-08022	Am32	GB54649-PA
HILC-58	AmelILC-14515	Amel	XP_016772108.1
HILC-58	Amh3ILC-14452	Amh3	XP_006560024.2
HILC-59	Am32ILC-07138	Am32	GB54139-PA
HILC-59	AmelILC-13978	Amel	XP_006563142.2
HILC-59	Amh3ILC-13924	Amh3	XP_026300679.1
HILC-60	Am32ILC-05915	Am32	GB51998-PA
HILC-60	AmelILC-12828	Amel	XP_016770918.1
HILC-60	Amh3ILC-12702	Amh3	XP_026300060.1
HILC-61	Am32ILC-15302	Am32	GB42976-PA
HILC-61	AmelILC-06846	Amel	XP_006570044.1
HILC-61	Amh3ILC-06680	Amh3	XP_006570044.2
HILC-62	Am32ILC-02237	Am32	GB54912-PA
HILC-62	AmelILC-01858	Amel	XP_016768742.1
HILC-62	Amh3ILC-01705	Amh3	XP_026301519.1
HILC-63	Am32ILC-15877	Am32	GB53778-PA
HILC-63	AmelILC-07535	Amel	XP_016768461.1
HILC-63	Amh3ILC-07361	Amh3	XP_016768461.1
HILC-64	Am32ILC-14452	Am32	GB46795-PA
HILC-64	AmelILC-05357	Amel	XP_006562243.1
HILC-64	Amh3ILC-05278	Amh3	XP_006562242.2
HILC-65	Am32ILC-10344	Am32	GB55538-PA
HILC-65	AmelILC-03146	Amel	XP_006568826.1
HILC-65	Amh3ILC-03017	Amh3	XP_026302264.1
HILC-66	Am32ILC-04382	Am32	GB45073-PA
HILC-66	AmelILC-11593	Amel	XP_003250904.2
HILC-66	Amh3ILC-11491	Amh3	XP_003250904.3
HILC-67	Am32ILC-13908	Am32	GB41366-PA
HILC-67	AmelILC-05954	Amel	XP_006569992.1
HILC-67	Amh3ILC-05927	Amh3	XP_006569992.2
HILC-68	Am32ILC-03586	Am32	GB50923-PA
HILC-68	AmelILC-10646	Amel	XP_006566192.2
HILC-68	Amh3ILC-10589	Amh3	XP_026299064.1
HILC-69	Am32ILC-03458	Am32	GB50969-PA
HILC-69	AmelILC-10754	Amel	XP_006566105.1
HILC-69	Amh3ILC-10486	Amh3	XP_006566104.2
HILC-70	Am32ILC-03986	Am32	GB46614-PA
HILC-70	AmelILC-11018	Amel	XP_016770543.1
HILC-70	Amh3ILC-10867	Amh3	XP_006557505.2
HILC-71	Am32ILC-05445	Am32	GB52555-PA
HILC-71	AmelILC-12450	Amel	XP_016770977.1
HILC-71	Amh3ILC-12344	Amh3	XP_026300195.1
HILC-72	Am32ILC-13577	Am32	GB44485-PA
HILC-72	AmelILC-05696	Amel	XP_016767609.1
HILC-72	Amh3ILC-05701	Amh3	XP_016767609.1
HILC-73	Am32ILC-19220	Am32	GB46321-PA
HILC-73	AmelILC-16550	Amel	XP_006572183.1
HILC-73	Amh3ILC-02027	Amh3	XP_026302179.1
HILC-74	Am32ILC-11061	Am32	GB49172-PA
HILC-74	AmelILC-03858	Amel	XP_006568023.1
HILC-74	Amh3ILC-03824	Amh3	XP_026295305.1
HILC-75	Am32ILC-18340	Am32	GB42804-PA
HILC-75	AmelILC-09525	Amel	XP_016769464.1
HILC-75	Amh3ILC-09429	Amh3	XP_016769464.2
HILC-76	Am32ILC-16259	Am32	GB42427-PA
HILC-76	AmelILC-07808	Amel	XP_016768511.1
HILC-76	Amh3ILC-07692	Amh3	XP_016768511.2
HILC-77	Am32ILC-10465	Am32	GB55583-PA
HILC-77	AmelILC-03034	Amel	XP_006568897.1
HILC-77	Amh3ILC-02908	Amh3	XP_026294859.1
HILC-78	Am32ILC-06362	Am32	GB49872-PA
HILC-78	AmelILC-13442	Amel	XP_016771360.1
HILC-78	Amh3ILC-13360	Amh3	XP_026300604.1
HILC-79	Am32ILC-06855	Am32	GB40140-PA
HILC-79	AmelILC-13230	Amel	XP_006560448.1
HILC-79	Amh3ILC-13176	Amh3	XP_026300505.1
HILC-80	Am32ILC-01949	Am32	GB51619-PA
HILC-80	AmelILC-01736	Amel	XP_006571432.1
HILC-80	Amh3ILC-01599	Amh3	XP_006571431.2
HILC-81	Am32ILC-25504	Am32	GB47098-PA
HILC-81	AmelILC-15841	Amel	XP_016772696.1
HILC-81	Amh3ILC-03113	Amh3	XP_026295558.1
HILC-82	Am32ILC-21159	Am32	GB52253-PA
HILC-82	AmelILC-15989	Amel	XP_006571925.1
HILC-82	Amh3ILC-03133	Amh3	XP_006571925.2
HILC-83	Am32ILC-18082	Am32	GB41888-PA
HILC-83	AmelILC-08766	Amel	XP_016769126.1
HILC-83	Amh3ILC-08674	Amh3	XP_026298307.1
HILC-84	Am32ILC-13738	Am32	GB44416-PA
HILC-84	AmelILC-05837	Amel	XP_016767869.1
HILC-84	Amh3ILC-05570	Amh3	XP_016767869.2
HILC-85	Am32ILC-09117	Am32	GB54348-PA
HILC-85	AmelILC-15349	Amel	XP_016772412.1
HILC-85	Amh3ILC-15164	Amh3	XP_016772410.1
HILC-86	Am32ILC-05968	Am32	GB51985-PA
HILC-86	AmelILC-12862	Amel	XP_016770956.1
HILC-86	Amh3ILC-12673	Amh3	XP_026300238.1
HILC-87	Am32ILC-08328	Am32	GB50508-PA
HILC-87	AmelILC-14758	Amel	XP_006561116.1
HILC-87	Amh3ILC-14693	Amh3	XP_026301410.1
HILC-88	Am32ILC-12345	Am32	GB44183-PA
HILC-88	AmelILC-04859	Amel	XP_016767276.1
HILC-88	Amh3ILC-04768	Amh3	XP_016767276.2
HILC-89	Am32ILC-14317	Am32	GB46736-PA
HILC-89	AmelILC-05237	Amel	XP_006562149.1
HILC-89	Amh3ILC-05381	Amh3	XP_006562149.1
HILC-90	Am32ILC-05071	Am32	GB43077-PA
HILC-90	AmelILC-12088	Amel	XP_016770188.1
HILC-90	Amh3ILC-12108	Amh3	XP_016770190.1
HILC-91	Am32ILC-12121	Am32	GB40999-PA
HILC-91	AmelILC-04694	Amel	XP_016767137.1
HILC-91	Amh3ILC-04664	Amh3	XP_016767135.2
HILC-92	Am32ILC-24040	Am32	GB47190-PA
HILC-92	AmelILC-16171	Amel	XP_006572016.1
HILC-92	Amh3ILC-09165	Amh3	XP_006572019.1
HILC-93	Am32ILC-25521	Am32	GB47113-PA
HILC-93	AmelILC-15856	Amel	XP_016772707.1
HILC-93	Amh3ILC-03098	Amh3	XP_026295645.1
HILC-94	Am32ILC-13926	Am32	GB41287-PA
HILC-94	AmelILC-05932	Amel	XP_006570002.1
HILC-94	Amh3ILC-05905	Amh3	XP_016767831.1
HILC-95	Am32ILC-22124	Am32	GB40885-PA
HILC-95	AmelILC-16040	Amel	NP_001242966.1
HILC-95	Amh3ILC-05046	Amh3	NP_001242966.1
HILC-96	Am32ILC-04773	Am32	GB44905-PA
HILC-96	AmelILC-11977	Amel	XP_006566705.1
HILC-96	Amh3ILC-11859	Amh3	XP_006566705.2
HILC-97	Am32ILC-07874	Am32	GB43579-PA
HILC-97	AmelILC-13722	Amel	XP_006560253.1
HILC-97	Amh3ILC-13626	Amh3	XP_016771574.1
HILC-98	Am32ILC-11430	Am32	GB49106-PA
HILC-98	AmelILC-03304	Amel	XP_016766652.1
HILC-98	Amh3ILC-03375	Amh3	XP_016766650.1
HILC-99	Am32ILC-12422	Am32	GB44213-PA
HILC-99	AmelILC-04922	Amel	NP_001229316.1
HILC-99	Amh3ILC-04713	Amh3	XP_026295734.1
HILC-100	Am32ILC-05692	Am32	GB49336-PA
HILC-100	AmelILC-12709	Amel	XP_006565243.1
HILC-100	Amh3ILC-12529	Amh3	XP_003250600.1
HILC-101	Am32ILC-16284	Am32	GB42495-PA
HILC-101	AmelILC-07784	Amel	XP_016768556.1
HILC-101	Amh3ILC-07715	Amh3	XP_006565557.2
HILC-102	Am32ILC-10492	Am32	GB55426-PA
HILC-102	AmelILC-03012	Amel	XP_016766369.1
HILC-102	Amh3ILC-02887	Amh3	XP_016766368.2
HILC-103	Am32ILC-18767	Am32	GB53340-PA
HILC-103	AmelILC-09898	Amel	XP_006567454.1
HILC-103	Amh3ILC-09830	Amh3	XP_006567460.1
HILC-104	Am32ILC-17256	Am32	GB52590-PA
HILC-104	AmelILC-08111	Amel	XP_395426.4
HILC-104	Amh3ILC-07998	Amh3	XP_395426.5
HILC-105	Am32ILC-18777	Am32	GB53412-PA
HILC-105	AmelILC-09907	Amel	XP_006567467.1
HILC-105	Amh3ILC-09823	Amh3	XP_006567467.1
HILC-106	Am32ILC-09178	Am32	GB54320-PA
HILC-106	AmelILC-15294	Amel	XP_016772561.1
HILC-106	Amh3ILC-15224	Amh3	XP_016772562.2
HILC-107	Am32ILC-00807	Am32	GB45823-PA
HILC-107	AmelILC-00904	Amel	XP_624014.2
HILC-107	Amh3ILC-00818	Amh3	XP_624014.2
HILC-108	Am32ILC-01830	Am32	GB45530-PA
HILC-108	AmelILC-01631	Amel	XP_396231.3
HILC-108	Amh3ILC-01510	Amh3	XP_396231.4
HILC-109	Am32ILC-16428	Am32	GB44285-PA
HILC-109	AmelILC-07883	Amel	XP_016768676.1
HILC-109	Amh3ILC-07746	Amh3	XP_016768677.2
HILC-110	Am32ILC-04656	Am32	GB44959-PA
HILC-110	AmelILC-11854	Amel	NP_001264230.1
HILC-110	Amh3ILC-11740	Amh3	NP_001264230.1
HILC-111	Am32ILC-05902	Am32	GB52002-PA
HILC-111	AmelILC-12819	Amel	XP_006566970.1
HILC-111	Amh3ILC-12707	Amh3	XP_006566975.1
HILC-112	Am32ILC-09424	Am32	GB47596-PA
HILC-112	AmelILC-15557	Amel	XP_006561386.1
HILC-112	Amh3ILC-15510	Amh3	XP_006561386.2
HILC-113	Am32ILC-13100	Am32	GB50482-PA
HILC-113	AmelILC-04633	Amel	XP_006562754.1
HILC-113	Amh3ILC-04529	Amh3	XP_026296177.1
HILC-114	Am32ILC-15006	Am32	GB42508-PA
HILC-114	AmelILC-06627	Amel	XP_016768105.1
HILC-114	Amh3ILC-06484	Amh3	XP_016768105.1
HILC-115	Am32ILC-18530	Am32	GB42866-PA
HILC-115	AmelILC-09691	Amel	NP_001242968.1
HILC-115	Amh3ILC-09606	Amh3	NP_001242968.1
HILC-116	Am32ILC-07329	Am32	GB52759-PA
HILC-116	AmelILC-14051	Amel	XP_006564926.1
HILC-116	Amh3ILC-14048	Amh3	XP_006564925.1
HILC-117	Am32ILC-04315	Am32	GB47308-PA
HILC-117	AmelILC-11525	Amel	XP_006564481.1
HILC-117	Amh3ILC-11431	Amh3	XP_006564481.1
HILC-118	Am32ILC-12522	Am32	GB52989-PA
HILC-118	AmelILC-05017	Amel	XP_016767105.1
HILC-118	Amh3ILC-04960	Amh3	XP_026295825.1
HILC-119	Am32ILC-05567	Am32	GB40629-PA
HILC-119	AmelILC-12520	Amel	XP_016771030.1
HILC-119	Amh3ILC-12435	Amh3	XP_026300283.1
HILC-120	Am32ILC-03287	Am32	GB52621-PA
HILC-120	AmelILC-10504	Amel	XP_393171.4
HILC-120	Amh3ILC-10393	Amh3	XP_026299077.1
HILC-121	Am32ILC-13966	Am32	GB52306-PA
HILC-121	AmelILC-05091	Amel	XP_394533.4
HILC-121	Amh3ILC-05133	Amh3	XP_394533.5
HILC-122	Am32ILC-15537	Am32	GB45373-PA
HILC-122	AmelILC-07060	Amel	XP_016768314.1
HILC-122	Amh3ILC-07083	Amh3	XP_006570939.2
HILC-123	Am32ILC-03335	Am32	GB51019-PA
HILC-123	AmelILC-10852	Amel	XP_016769905.1
HILC-123	Amh3ILC-13736	Amh3	XP_026300944.1
HILC-124	Am32ILC-11059	Am32	GB49171-PA
HILC-124	AmelILC-03855	Amel	XP_623565.1
HILC-124	Amh3ILC-03820	Amh3	XP_623565.1
HILC-125	Am32ILC-14123	Am32	GB45645-PA
HILC-125	AmelILC-06071	Amel	XP_016767594.1
HILC-125	Amh3ILC-06077	Amh3	XP_026296397.1
HILC-126	Am32ILC-16652	Am32	GB44252-PA
HILC-126	AmelILC-07396	Amel	NP_001242963.1
HILC-126	Amh3ILC-07284	Amh3	NP_001242963.1
HILC-127	Am32ILC-09656	Am32	GB45982-PA
HILC-127	AmelILC-15752	Amel	XP_006563217.2
HILC-127	Amh3ILC-15562	Amh3	XP_006563216.3
HILC-128	Am32ILC-05312	Am32	GB55237-PA
HILC-128	AmelILC-11268	Amel	XP_016770476.1
HILC-128	Amh3ILC-11084	Amh3	XP_016770475.1
HILC-129	Am32ILC-10648	Am32	GB55648-PA
HILC-129	AmelILC-02880	Amel	XP_016766383.1
HILC-129	Amh3ILC-02758	Amh3	XP_026302191.1
HILC-130	Am32ILC-08811	Am32	GB50283-PA
HILC-130	AmelILC-15188	Amel	XP_016772126.1
HILC-130	Amh3ILC-15084	Amh3	XP_026301231.1
HILC-131	Am32ILC-04845	Am32	GB45287-PA
HILC-131	AmelILC-12046	Amel	XP_016770293.1
HILC-131	Amh3ILC-11924	Amh3	XP_016770293.2
HILC-132	Am32ILC-14098	Am32	GB45717-PA
HILC-132	AmelILC-06089	Amel	XP_016767748.1
HILC-132	Amh3ILC-06056	Amh3	XP_026296541.1
HILC-133	Am32ILC-16500	Am32	GB48161-PA
HILC-133	AmelILC-08055	Amel	XP_006569489.1
HILC-133	Amh3ILC-07905	Amh3	XP_006569489.2
HILC-134	Am32ILC-11249	Am32	GB41215-PA
HILC-134	AmelILC-04019	Amel	XP_003251347.1
HILC-134	Amh3ILC-03985	Amh3	XP_003251347.2
HILC-135	Am32ILC-18765	Am32	GB53341-PA
HILC-135	AmelILC-09896	Amel	XP_006567452.1
HILC-135	Amh3ILC-09832	Amh3	XP_006567452.1
HILC-136	Am32ILC-02358	Am32	GB53909-PA
HILC-136	AmelILC-01983	Amel	XP_016772618.1
HILC-136	Amh3ILC-01896	Amh3	XP_026302130.1
HILC-137	Am32ILC-02298	Am32	GB53959-PA
HILC-137	AmelILC-02030	Amel	XP_394253.4
HILC-137	Amh3ILC-01851	Amh3	XP_006571706.1
HILC-138	Am32ILC-19879	Am32	GB48825-PA
HILC-138	AmelILC-15909	Amel	XP_006571895.2
HILC-138	Amh3ILC-11213	Amh3	XP_026299670.1
HILC-139	Am32ILC-16805	Am32	GB47879-PA
HILC-139	AmelILC-08093	Amel	XP_006557330.1
HILC-139	Amh3ILC-07959	Amh3	XP_006557330.1
HILC-140	Am32ILC-04788	Am32	GB44899-PA
HILC-140	AmelILC-11993	Amel	XP_006566729.1
HILC-140	Amh3ILC-11875	Amh3	XP_006566729.1
HILC-141	Am32ILC-17806	Am32	GB43860-PA
HILC-141	AmelILC-08687	Amel	XP_006563820.1
HILC-141	Amh3ILC-08536	Amh3	XP_006563820.2
HILC-142	Am32ILC-15251	Am32	GB46332-PA
HILC-142	AmelILC-06803	Amel	XP_016768216.1
HILC-142	Amh3ILC-06657	Amh3	XP_026297301.1
HILC-143	Am32ILC-14693	Am32	GB52205-PA
HILC-143	AmelILC-06384	Amel	XP_006561369.2
HILC-143	Amh3ILC-06341	Amh3	XP_026297228.1
HILC-144	Am32ILC-00811	Am32	GB45821-PA
HILC-144	AmelILC-00908	Amel	XP_006568663.1
HILC-144	Amh3ILC-00823	Amh3	XP_006568663.1
HILC-145	Am32ILC-13675	Am32	GB44673-PA
HILC-145	AmelILC-05782	Amel	XP_016767783.1
HILC-145	Amh3ILC-05624	Amh3	XP_026296805.1
HILC-146	Am32ILC-12063	Am32	GB49644-PA
HILC-146	AmelILC-04130	Amel	XP_006557388.2
HILC-146	Amh3ILC-04113	Amh3	XP_026295898.1
HILC-147	Am32ILC-18255	Am32	GB42728-PA
HILC-147	AmelILC-09452	Amel	XP_016769328.1
HILC-147	Amh3ILC-09350	Amh3	XP_026298391.1
HILC-148	Am32ILC-07518	Am32	GB41645-PA
HILC-148	AmelILC-14208	Amel	XP_016771604.1
HILC-148	Amh3ILC-14195	Amh3	XP_026300846.1
HILC-149	Am32ILC-09864	Am32	GB50852-PA
HILC-149	AmelILC-02447	Amel	XP_006561238.1
HILC-149	Amh3ILC-02375	Amh3	XP_006561238.2
HILC-150	Am32ILC-15438	Am32	GB53517-PA
HILC-150	AmelILC-06967	Amel	XP_006570613.1
HILC-150	Amh3ILC-06865	Amh3	XP_006570613.1
HILC-151	Am32ILC-26208	Am32	GB54568-PA
HILC-151	AmelILC-16532	Amel	XP_006572176.1
HILC-151	Amh3ILC-05077	Amh3	XP_006572176.2
HILC-152	Am32ILC-13273	Am32	GB42014-PA
HILC-152	AmelILC-05454	Amel	XP_006564282.1
HILC-152	Amh3ILC-05461	Amh3	XP_006564282.1
HILC-153	Am32ILC-09393	Am32	GB51360-PA
HILC-153	AmelILC-15529	Amel	XP_394944.4
HILC-153	Amh3ILC-15281	Amh3	XP_016772573.1
HILC-154	Am32ILC-25500	Am32	GB47100-PA
HILC-154	AmelILC-15839	Amel	XP_006571849.2
HILC-154	Amh3ILC-03115	Amh3	XP_026295474.1
HILC-155	Am32ILC-14263	Am32	GB51381-PA
HILC-155	AmelILC-05194	Amel	XP_016767958.1
HILC-155	Amh3ILC-05229	Amh3	XP_026296698.1
HILC-156	Am32ILC-05454	Am32	GB52537-PA
HILC-156	AmelILC-12461	Amel	XP_006561267.1
HILC-156	Amh3ILC-12336	Amh3	XP_016771089.2
HILC-157	Am32ILC-04414	Am32	GB45114-PA
HILC-157	AmelILC-11617	Amel	XP_006566383.1
HILC-157	Amh3ILC-11511	Amh3	XP_006566383.2
HILC-158	Am32ILC-09485	Am32	GB47631-PA
HILC-158	AmelILC-15602	Amel	XP_016772406.1
HILC-158	Amh3ILC-15465	Amh3	XP_026301493.1
HILC-159	Am32ILC-09866	Am32	GB50853-PA
HILC-159	AmelILC-02450	Amel	XP_006561239.1
HILC-159	Amh3ILC-02377	Amh3	XP_006561239.1
HILC-160	Am32ILC-12905	Am32	GB55917-PA
HILC-160	AmelILC-04479	Amel	XP_016767088.1
HILC-160	Amh3ILC-04458	Amh3	XP_026295810.1
HILC-161	Am32ILC-18691	Am32	GB53388-PA
HILC-161	AmelILC-09824	Amel	XP_016769609.1
