Species	IntronPos	MrnaAcc	Length	GCContent	GCSkew	NContent	Context
Dmel	NC_004353.4_264671-264743+	gnl|FlyBase|CG42316-RD	73	0.219	0.250	0.000	cds
Dmel	NC_004353.4_270500-270559-	gnl|FlyBase|CG2380-RB	60	0.283	0.412	0.000	cds
Dmel	NC_004353.4_270756-271068-	gnl|FlyBase|CG2380-RB	313	0.345	0.093	0.000	cds
Dmel	NC_004353.4_271848-271914-	gnl|FlyBase|CG2380-RB	67	0.179	0.500	0.000	cds
Dmel	NC_004353.4_272173-272225-	gnl|FlyBase|CG2380-RB	53	0.264	0.286	0.000	cds
Dmel	NC_004353.4_272409-273114-	gnl|FlyBase|CG2380-RB	706	0.322	0.172	0.000	cds
Dmel	NC_004353.4_273713-273760-	gnl|FlyBase|CG2380-RB	48	0.167	0.000	0.000	cds
Dmel	NC_004353.4_273917-275579-	gnl|FlyBase|CG2380-RB	1663	0.293	-0.006	0.000	cds
Dmel	NC_004353.4_275720-276290-	gnl|FlyBase|CG2380-RB	571	0.336	0.104	0.000	5putr
Dmel	NC_004353.4_280240-280324-	gnl|FlyBase|CG2381-RA	85	0.200	-0.294	0.000	cds
Dmel	NC_004353.4_280538-281723-	gnl|FlyBase|CG2381-RA	1186	0.298	-0.062	0.000	cds
Dmel	NC_004353.4_281893-281947-	gnl|FlyBase|CG2381-RA	55	0.145	0.500	0.000	cds
Dmel	NC_004353.4_282029-282435-	gnl|FlyBase|CG2381-RA	407	0.260	0.264	0.000	cds
Dmel	NC_004353.4_282739-302241-	gnl|FlyBase|CG2381-RA	19503	0.349	0.050	0.000	cds
Dmel	NC_004353.4_302324-302385-	gnl|FlyBase|CG2381-RA	62	0.258	0.625	0.000	cds
Dmel	NC_004353.4_302527-305015-	gnl|FlyBase|CG2381-RA	2489	0.334	-0.005	0.000	cds
Dmel	NC_004353.4_305179-305731-	gnl|FlyBase|CG2381-RA	553	0.284	0.019	0.000	5putr
Dmel	NC_004353.4_308290-308430+	gnl|FlyBase|CG1836-RA	141	0.284	0.150	0.000	cds
Dmel	NC_004353.4_309080-309538+	gnl|FlyBase|CG1836-RA	459	0.303	-0.022	0.000	cds
Dmel	NC_004353.4_309634-309693+	gnl|FlyBase|CG1836-RA	60	0.217	0.077	0.000	cds
Dmel	NC_004353.4_310018-310078+	gnl|FlyBase|CG1836-RA	61	0.279	0.294	0.000	cds
Dmel	NC_004353.4_313299-313356-	gnl|FlyBase|CG2177-RE	58	0.328	0.053	0.000	cds
Dmel	NC_004353.4_313643-313747-	gnl|FlyBase|CG2177-RE	105	0.286	0.133	0.000	cds
Dmel	NC_004353.4_315180-316392+	gnl|FlyBase|CG32850-RA	1213	0.322	-0.003	0.000	5putr
Dmel	NC_004353.4_316510-319448+	gnl|FlyBase|CG32850-RA	2939	0.324	0.084	0.000	cds
Dmel	NC_004353.4_329429-330270-	gnl|FlyBase|CG42314-RJ	842	0.286	0.062	0.000	3putr
Dmel	NC_004353.4_330340-331397-	gnl|FlyBase|CG42314-RJ	1058	0.257	-0.169	0.000	3putr
Dmel	NC_004353.4_332003-342921-	gnl|FlyBase|CG42314-RJ	10919	0.289	-0.046	0.000	cds
Dmel	NC_004353.4_343061-348994-	gnl|FlyBase|CG42314-RJ	5934	0.357	-0.018	0.000	cds
Dmel	NC_004353.4_349147-349212-	gnl|FlyBase|CG42314-RJ	66	0.197	-0.231	0.000	cds
Dmel	NC_004353.4_349425-349480-	gnl|FlyBase|CG42314-RJ	56	0.214	0.167	0.000	cds
Dmel	NC_004353.4_349680-349729-	gnl|FlyBase|CG42314-RJ	50	0.220	0.091	0.000	cds
Dmel	NC_004353.4_350044-350602-	gnl|FlyBase|CG42314-RJ	559	0.295	0.188	0.000	cds
Dmel	NC_004353.4_350691-350764-	gnl|FlyBase|CG42314-RJ	74	0.270	-0.100	0.000	cds
Dmel	NC_004353.4_351210-351585-	gnl|FlyBase|CG42314-RJ	376	0.375	-0.007	0.000	cds
Dmel	NC_004353.4_351828-351883-	gnl|FlyBase|CG42314-RJ	56	0.214	-0.167	0.000	cds
Dmel	NC_004353.4_352127-352180-	gnl|FlyBase|CG42314-RJ	54	0.278	0.333	0.000	cds
Dmel	NC_004353.4_352591-353942-	gnl|FlyBase|CG42314-RJ	1352	0.294	-0.068	0.000	cds
Dmel	NC_004353.4_353979-354350-	gnl|FlyBase|CG42314-RJ	372	0.298	-0.369	0.000	cds
Dmel	NC_004353.4_354562-354679-	gnl|FlyBase|CG42314-RJ	118	0.271	0.312	0.000	cds
Dmel	NC_004353.4_354967-355030-	gnl|FlyBase|CG42314-RJ	64	0.250	0.375	0.000	cds
Dmel	NC_004353.4_355226-355309-	gnl|FlyBase|CG42314-RJ	84	0.179	-0.067	0.000	cds
Dmel	NC_004353.4_355482-358549-	gnl|FlyBase|CG42314-RJ	3068	0.333	0.041	0.000	5putr
Dmel	NC_004353.4_360285-360586+	gnl|FlyBase|CG1710-RA	302	0.262	0.114	0.000	5putr
Dmel	NC_004353.4_361007-362303+	gnl|FlyBase|CG1710-RA	1297	0.345	0.078	0.000	cds
Dmel	NC_004353.4_362614-362670+	gnl|FlyBase|CG1710-RA	57	0.263	0.467	0.000	cds
Dmel	NC_004353.4_362883-362945+	gnl|FlyBase|CG1710-RA	63	0.190	0.000	0.000	cds
Dmel	NC_004353.4_363135-363493+	gnl|FlyBase|CG1710-RA	359	0.312	0.054	0.000	cds
Dmel	NC_004353.4_363640-363867+	gnl|FlyBase|CG1710-RA	228	0.272	-0.161	0.000	cds
Dmel	NC_004353.4_364942-365673+	gnl|FlyBase|CG1710-RA	732	0.333	0.057	0.000	cds
Dmel	NC_004353.4_366763-369506+	gnl|FlyBase|CG1710-RA	2744	0.327	-0.003	0.000	cds
Dmel	NC_004353.4_369745-369809+	gnl|FlyBase|CG1710-RA	65	0.231	0.333	0.000	cds
Dmel	NC_004353.4_369965-371090+	gnl|FlyBase|CG1710-RA	1126	0.307	0.000	0.000	cds
Dmel	NC_004353.4_371358-371812+	gnl|FlyBase|CG1710-RA	455	0.360	-0.098	0.000	cds
Dmel	NC_004353.4_372177-372249+	gnl|FlyBase|CG1710-RA	73	0.233	0.412	0.000	cds
Dmel	NC_004353.4_376632-377093-	gnl|FlyBase|CG2052-RA	462	0.344	-0.019	0.000	cds
Dmel	NC_004353.4_377670-377757-	gnl|FlyBase|CG2052-RA	88	0.239	-0.333	0.000	cds
Dmel	NC_004353.4_377826-377884-	gnl|FlyBase|CG2052-RA	59	0.288	-0.176	0.000	cds
Dmel	NC_004353.4_378203-378395-	gnl|FlyBase|CG2052-RA	193	0.290	-0.250	0.000	cds
Dmel	NC_004353.4_378562-378715-	gnl|FlyBase|CG2052-RA	154	0.396	-0.410	0.000	cds
Dmel	NC_004353.4_378901-382122-	gnl|FlyBase|CG2052-RA	3222	0.383	-0.059	0.000	cds
Dmel	NC_004353.4_382409-386906-	gnl|FlyBase|CG2052-RA	4498	0.364	-0.019	0.000	cds
Dmel	NC_004353.4_386985-390424-	gnl|FlyBase|CG2052-RA	3440	0.384	0.051	0.000	cds
Dmel	NC_004353.4_391545-393262-	gnl|FlyBase|CG2052-RA	1718	0.319	-0.135	0.000	5putr
Dmel	NC_004353.4_438919-438974-	gnl|FlyBase|CG2041-RA	56	0.161	0.111	0.000	cds
Dmel	NC_004353.4_439166-439447-	gnl|FlyBase|CG2041-RA	282	0.230	0.046	0.000	cds
Dmel	NC_004353.4_441452-442179-	gnl|FlyBase|CG2041-RA	728	0.304	0.050	0.000	cds
Dmel	NC_004353.4_442390-442863-	gnl|FlyBase|CG2041-RA	474	0.293	-0.036	0.000	cds
Dmel	NC_004353.4_443155-443212-	gnl|FlyBase|CG2041-RA	58	0.345	0.000	0.000	cds
Dmel	NC_004353.4_446752-446820+	gnl|FlyBase|CG1495-RA	69	0.362	0.200	0.000	5putr
Dmel	NC_004353.4_447036-447100+	gnl|FlyBase|CG1495-RA	65	0.308	-0.100	0.000	cds
Dmel	NC_004353.4_447236-449923+	gnl|FlyBase|CG1495-RA	2688	0.330	0.003	0.000	cds
Dmel	NC_004353.4_449969-450241+	gnl|FlyBase|CG1495-RA	273	0.322	-0.136	0.000	cds
Dmel	NC_004353.4_450317-450370+	gnl|FlyBase|CG1495-RA	54	0.352	-0.053	0.000	cds
Dmel	NC_004353.4_450510-451189+	gnl|FlyBase|CG1495-RA	680	0.390	-0.064	0.000	cds
Dmel	NC_004353.4_451455-452617+	gnl|FlyBase|CG1495-RA	1163	0.279	0.025	0.000	cds
Dmel	NC_004353.4_452745-452802+	gnl|FlyBase|CG1495-RA	58	0.259	0.200	0.000	cds
Dmel	NC_004353.4_452891-452971+	gnl|FlyBase|CG1495-RA	81	0.198	0.375	0.000	cds
Dmel	NC_004353.4_460142-460202-	gnl|FlyBase|CG2009-RA	61	0.246	-0.200	0.000	cds
Dmel	NC_004353.4_460657-460713-	gnl|FlyBase|CG2009-RA	57	0.246	0.143	0.000	cds
Dmel	NC_004353.4_461048-461504-	gnl|FlyBase|CG2009-RA	457	0.274	-0.008	0.000	cds
Dmel	NC_004353.4_462329-462387-	gnl|FlyBase|CG2009-RA	59	0.186	0.273	0.000	cds
Dmel	NC_004353.4_462502-463054-	gnl|FlyBase|CG2009-RA	553	0.329	0.066	0.000	cds
Dmel	NC_004353.4_464741-464796-	gnl|FlyBase|CG2009-RA	56	0.339	-0.158	0.000	cds
Dmel	NC_004353.4_465316-466500-	gnl|FlyBase|CG2009-RA	1185	0.321	0.026	0.000	cds
Dmel	NC_004353.4_467694-467750+	gnl|FlyBase|CG33941-RF	57	0.246	-0.286	0.000	5putr
Dmel	NC_004353.4_467995-469156+	gnl|FlyBase|CG33941-RF	1162	0.337	-0.026	0.000	cds
Dmel	NC_004353.4_469331-471013+	gnl|FlyBase|CG33941-RF	1683	0.288	0.041	0.000	cds
Dmel	NC_004353.4_472521-472577-	gnl|FlyBase|CG11533-RD	57	0.228	0.231	0.000	cds
Dmel	NC_004353.4_472678-473146-	gnl|FlyBase|CG11533-RD	469	0.284	-0.083	0.000	cds
Dmel	NC_004353.4_473720-474452-	gnl|FlyBase|CG11533-RD	733	0.291	0.014	0.000	cds
Dmel	NC_004353.4_474769-474959-	gnl|FlyBase|CG11533-RD	191	0.241	-0.087	0.000	cds
Dmel	NC_004353.4_475105-476962-	gnl|FlyBase|CG11533-RD	1858	0.369	0.086	0.000	cds
Dmel	NC_004353.4_477103-477291-	gnl|FlyBase|CG11533-RD	189	0.270	-0.020	0.000	cds
Dmel	NC_004353.4_478084-478537-	gnl|FlyBase|CG11533-RD	454	0.348	-0.114	0.000	cds
Dmel	NC_004353.4_478739-478799-	gnl|FlyBase|CG11533-RD	61	0.246	0.867	0.000	cds
Dmel	NC_004353.4_478869-480034-	gnl|FlyBase|CG11533-RD	1166	0.324	0.005	0.000	cds
Dmel	NC_004353.4_480239-480301-	gnl|FlyBase|CG11533-RD	63	0.222	0.143	0.000	cds
Dmel	NC_004353.4_480692-480775-	gnl|FlyBase|CG11533-RD	84	0.274	0.130	0.000	cds
Dmel	NC_004353.4_481142-481208-	gnl|FlyBase|CG11533-RD	67	0.209	0.286	0.000	cds
Dmel	NC_004353.4_481705-481810-	gnl|FlyBase|CG11533-RD	106	0.349	0.243	0.000	cds
Dmel	NC_004353.4_501858-503850+	gnl|FlyBase|CG1449-RA	1993	0.405	0.020	0.000	5putr
Dmel	NC_004353.4_504139-515581+	gnl|FlyBase|CG1449-RA	11443	0.373	-0.021	0.000	5putr
Dmel	NC_004353.4_515632-521472+	gnl|FlyBase|CG1449-RA	5841	0.373	-0.011	0.000	5putr
Dmel	NC_004353.4_523105-524330+	gnl|FlyBase|CG1449-RA	1226	0.378	0.102	0.000	cds
Dmel	NC_004353.4_524513-524903+	gnl|FlyBase|CG1449-RA	391	0.281	-0.018	0.000	cds
Dmel	NC_004353.4_526521-529692+	gnl|FlyBase|CG1449-RA	3172	0.377	-0.060	0.000	cds
Dmel	NC_004353.4_531094-531155+	gnl|FlyBase|CG1449-RA	62	0.242	0.200	0.000	cds
Dmel	NC_004353.4_531380-531435+	gnl|FlyBase|CG1449-RA	56	0.304	-0.059	0.000	cds
Dmel	NC_004353.4_531784-532782+	gnl|FlyBase|CG1449-RA	999	0.295	-0.058	0.000	cds
Dmel	NC_004353.4_532927-532982+	gnl|FlyBase|CG1449-RA	56	0.375	0.333	0.000	cds
Dmel	NC_004353.4_535881-537174+	gnl|FlyBase|CG1449-RA	1294	0.323	0.029	0.000	cds
Dmel	NC_004353.4_537761-538537+	gnl|FlyBase|CG1449-RA	777	0.288	0.036	0.000	cds
Dmel	NC_004353.4_538605-538658+	gnl|FlyBase|CG1449-RA	54	0.333	-0.111	0.000	3putr
Dmel	NC_004353.4_548144-549258-	gnl|FlyBase|CG1981-RA	1115	0.336	-0.040	0.000	cds
Dmel	NC_004353.4_549622-549713-	gnl|FlyBase|CG1981-RA	92	0.261	0.083	0.000	cds
Dmel	NC_004353.4_549874-550753-	gnl|FlyBase|CG1981-RA	880	0.327	0.069	0.000	cds
Dmel	NC_004353.4_551381-551990-	gnl|FlyBase|CG1981-RA	610	0.254	0.123	0.000	cds
Dmel	NC_004353.4_553742-557442-	gnl|FlyBase|CG1981-RA	3701	0.343	0.010	0.000	5putr
Dmel	NC_004353.4_558169-560094+	gnl|FlyBase|CG1507-RB	1926	0.312	0.013	0.000	5putr
Dmel	NC_004353.4_560301-560348+	gnl|FlyBase|CG1507-RB	48	0.271	-0.077	0.000	cds
Dmel	NC_004353.4_560412-560470+	gnl|FlyBase|CG1507-RB	59	0.356	-0.238	0.000	cds
Dmel	NC_004353.4_560584-560717+	gnl|FlyBase|CG1507-RB	134	0.261	-0.029	0.000	cds
Dmel	NC_004353.4_560821-564360+	gnl|FlyBase|CG1507-RB	3540	0.294	0.076	0.000	cds
Dmel	NC_004353.4_564480-564540+	gnl|FlyBase|CG1507-RB	61	0.213	0.077	0.000	cds
Dmel	NC_004353.4_564663-565406+	gnl|FlyBase|CG1507-RB	744	0.324	0.029	0.000	cds
Dmel	NC_004353.4_565516-565600+	gnl|FlyBase|CG1507-RB	85	0.176	-0.200	0.000	cds
Dmel	NC_004353.4_569057-569113-	gnl|FlyBase|CG1970-RA	57	0.281	0.250	0.000	cds
Dmel	NC_004353.4_569302-569974-	gnl|FlyBase|CG1970-RA	673	0.281	-0.005	0.000	cds
Dmel	NC_004353.4_570177-570233-	gnl|FlyBase|CG1970-RA	57	0.368	0.048	0.000	cds
Dmel	NC_004353.4_570344-570408-	gnl|FlyBase|CG1970-RA	65	0.400	-0.308	0.000	cds
Dmel	NC_004353.4_570534-570603-	gnl|FlyBase|CG1970-RA	70	0.257	0.111	0.000	cds
Dmel	NC_004353.4_571967-573612+	gnl|FlyBase|CG1862-RA	1646	0.316	0.069	0.000	5putr
Dmel	NC_004353.4_574429-575334+	gnl|FlyBase|CG1862-RA	906	0.316	-0.056	0.000	cds
Dmel	NC_004353.4_575646-575701+	gnl|FlyBase|CG1862-RA	56	0.196	0.091	0.000	cds
Dmel	NC_004353.4_576326-576978+	gnl|FlyBase|CG1862-RA	653	0.292	-0.110	0.000	cds
