Species	Accession	Length	GCContent	GCSkew	NContent	ExonCount	IntronCount	5pUTRlen	3pUTRlen
Dmel	gnl|FlyBase|CG1862-RA	6389	0.339	0.001	0.000	5	4	348	821
Dmel	gnl|FlyBase|CG1909-RA	6241	0.378	-0.019	0.000	10	9	182	398
Dmel	gnl|FlyBase|CG1922-RA	9095	0.380	-0.015	0.000	4	3	947	2549
Dmel	gnl|FlyBase|CG1511-RC	10243	0.333	0.043	0.000	14	13	331	568
Dmel	gnl|FlyBase|CG1901-RA	2813	0.370	-0.019	0.000	2	1	447	152
Dmel	gnl|FlyBase|CG1732-RA	5660	0.353	0.048	0.000	10	9	145	839
Dmel	gnl|FlyBase|CG9935-RB	10426	0.345	0.016	0.000	13	12	36	177
Dmel	gnl|FlyBase|CG31992-RA	10013	0.386	0.009	0.000	10	9	595	286
Dmel	gnl|FlyBase|CG1783-RA	6264	0.351	0.009	0.000	6	5	80	434
Dmel	gnl|FlyBase|CG11360-RA	9003	0.353	-0.033	0.000	2	1	116	3555
Dmel	gnl|FlyBase|CG1838-RA	4778	0.329	0.039	0.000	4	3	386	713
Dmel	gnl|FlyBase|CG1464-RD	16523	0.393	-0.010	0.000	9	8	514	251
Dmel	gnl|FlyBase|CG32019-RF	51682	0.374	0.002	0.000	46	45	140	532
Dmel	gnl|FlyBase|CG1793-RA	9099	0.351	-0.023	0.000	6	5	226	311
Dmel	gnl|FlyBase|CG11153-RB	33958	0.363	0.003	0.000	5	4	1100	847
Dmel	gnl|FlyBase|CG11152-RA	7544	0.386	-0.074	0.000	2	1	301	223
Dmel	gnl|FlyBase|CG11148-RG	11626	0.382	0.018	0.000	9	8	84	110
Dmel	gnl|FlyBase|CG2999-RE	22636	0.340	0.021	0.000	24	23	161	563
Dmel	gnl|FlyBase|CG10811-RB	15419	0.346	-0.020	0.000	17	16	380	195
Dmel	gnl|FlyBase|CG11144-RA	10007	0.352	-0.003	0.000	9	8	209	205
Dmel	gnl|FlyBase|CG32016-RB	6851	0.348	-0.023	0.000	9	8	171	297
Dmel	gnl|FlyBase|CG11093-RB	16149	0.346	-0.033	0.000	5	4	291	34
Dmel	gnl|FlyBase|CG11186-RA	16564	0.368	-0.032	0.000	9	8	527	128
Dmel	gnl|FlyBase|CG11081-RA	13698	0.336	0.044	0.000	10	9	348	406
Dmel	gnl|FlyBase|CG11077-RA	687	0.483	-0.048	0.000	1	0	112	68
Dmel	gnl|FlyBase|CG11076-RA	1265	0.435	-0.004	0.000	1	0	165	260
Dmel	gnl|FlyBase|CG11154-RC	3074	0.391	0.011	0.000	4	3	346	144
Dmel	gnl|FlyBase|CG18069-RJ	14224	0.333	-0.008	0.000	16	15	126	123
Dmel	gnl|FlyBase|CG32018-RB	3554	0.328	-0.009	0.000	8	7	227	76
Dmel	gnl|FlyBase|CG11064-RA	11299	0.370	0.042	0.000	8	7	141	90
Dmel	gnl|FlyBase|CG11062-RA	7466	0.349	0.024	0.000	6	5	330	500
Dmel	gnl|FlyBase|CG11049-RA	24520	0.336	-0.026	0.000	13	12	292	1866
Dmel	gnl|FlyBase|CG11059-RC	8103	0.332	-0.026	0.000	12	11	184	572
Dmel	gnl|FlyBase|CG11027-RA	1159	0.346	0.027	0.000	4	3	98	289
Dmel	gnl|FlyBase|CG11155-RA	9313	0.331	0.034	0.000	14	13	148	98
Dmel	gnl|FlyBase|CG32017-RB	8292	0.296	0.042	0.000	9	8	438	1925
Dmel	gnl|FlyBase|CG17461-RA	21774	0.350	0.004	0.000	5	4	81	2345
Dmel	gnl|FlyBase|CG17743-RA	9160	0.362	0.010	0.000	7	6	404	414
Dmel	gnl|FlyBase|CG33521-RA	6770	0.324	-0.052	0.000	11	10	244	178
Dmel	gnl|FlyBase|CG17471-RA	4430	0.318	0.060	0.000	10	9	161	117
Dmel	gnl|FlyBase|CG43369-RC	4411	0.344	0.032	0.000	8	7	53	659
Dmel	gnl|FlyBase|CG40478-RA	4977	0.353	-0.022	0.000	7	6	476	421
Dmel	gnl|FlyBase|CG33653-RD	39877	0.318	-0.032	0.000	25	24	349	630
Dmel	gnl|FlyBase|CG17636-RC	2345	0.462	0.065	0.000	4	3	176	94
Dmel	gnl|FlyBase|CG40494-RE	12892	0.385	-0.026	0.000	14	13	308	566
Dmel	gnl|FlyBase|CG17131-RA	23065	0.371	-0.029	0.000	8	7	479	276
Dmel	gnl|FlyBase|CG17707-RB	5696	0.405	-0.035	0.000	11	10	546	272
Dmel	gnl|FlyBase|CG3038-RA	1796	0.419	0.040	0.000	2	1	186	378
Dmel	gnl|FlyBase|CG2995-RB	8673	0.419	0.052	0.000	9	8	872	1389
Dmel	gnl|FlyBase|CG42376-RA	649	0.408	0.026	0.000	1	0	193	177
Dmel	gnl|FlyBase|CG2945-RA	2796	0.421	0.041	0.000	7	6	120	184
Dmel	gnl|FlyBase|CG13377-RA	5661	0.371	-0.017	0.000	3	2	338	270
Dmel	gnl|FlyBase|CG13376-RD	1305	0.465	0.265	0.000	2	1	60	521
Dmel	gnl|FlyBase|CG3114-RK	10024	0.408	0.008	0.000	7	6	561	958
Dmel	gnl|FlyBase|CG3777-RA	7162	0.406	0.002	0.000	6	5	207	529
Dmel	gnl|FlyBase|CG13375-RA	8556	0.357	-0.049	0.000	6	5	395	176
Dmel	gnl|FlyBase|CG12470-RA	1252	0.421	0.017	0.000	2	1	327	140
Dmel	gnl|FlyBase|CG17885-RA	1444	0.408	-0.002	0.000	3	2	0	9
Dmel	gnl|FlyBase|CG32816-RA	18226	0.378	-0.059	0.000	3	2	239	445
Dmel	gnl|FlyBase|CG43181-RA	568	0.361	-0.034	0.000	1	0	13	168
Dmel	gnl|FlyBase|CG43182-RA	251	0.406	-0.020	0.000	1	0	12	23
Dmel	gnl|FlyBase|CG3757-RA	4737	0.386	0.011	0.000	2	1	171	241
Dmel	gnl|FlyBase|CG3796-RA	917	0.425	-0.103	0.000	1	0	63	248
Dmel	gnl|FlyBase|CG3827-RA	1438	0.432	-0.130	0.000	1	0	117	283
Dmel	gnl|FlyBase|CG3839-RA	1097	0.438	-0.108	0.000	1	0	75	248
Dmel	gnl|FlyBase|CG13374-RA	1310	0.439	0.030	0.000	1	0	39	47
Dmel	gnl|FlyBase|CG3258-RA	2430	0.437	-0.054	0.000	1	0	209	760
Dmel	gnl|FlyBase|CG3972-RA	2279	0.483	0.005	0.000	1	0	107	501
Dmel	gnl|FlyBase|CG3923-RC	5561	0.464	-0.045	0.000	11	10	183	815
Dmel	gnl|FlyBase|CG13373-RB	1208	0.463	-0.009	0.000	3	2	163	115
Dmel	gnl|FlyBase|CG32817-RA	736	0.463	-0.026	0.000	3	2	93	73
Dmel	gnl|FlyBase|CG3176-RA	721	0.465	-0.003	0.000	3	2	74	77
Dmel	gnl|FlyBase|CG18273-RA	4805	0.484	0.042	0.000	6	5	101	107
Dmel	gnl|FlyBase|CG3156-RA	2848	0.479	0.028	0.000	6	5	112	154
Dmel	gnl|FlyBase|CG17896-RB	2709	0.512	0.020	0.000	2	1	78	309
Dmel	gnl|FlyBase|CG17778-RA	1470	0.440	0.060	0.000	2	1	170	565
Dmel	gnl|FlyBase|CG4122-RG	9792	0.433	-0.017	0.000	10	9	474	1034
Dmel	gnl|FlyBase|CG4262-RA	5991	0.468	-0.011	0.000	3	2	497	556
Dmel	gnl|FlyBase|CG4293-RA	1909	0.523	-0.070	0.000	4	3	218	145
Dmel	gnl|FlyBase|CG7727-RB	47875	0.441	-0.015	0.000	12	11	192	3466
Dmel	gnl|FlyBase|CG6172-RA	6778	0.499	-0.047	0.000	3	2	353	508
Dmel	gnl|FlyBase|CG13366-RB	7034	0.475	0.008	0.000	10	9	410	703
Dmel	gnl|FlyBase|CG13365-RA	499	0.543	0.055	0.000	1	0	70	84
Dmel	gnl|FlyBase|CG17828-RA	1522	0.490	-0.038	0.000	4	3	317	423
Dmel	gnl|FlyBase|CG13369-RA	1298	0.580	-0.017	0.000	3	2	214	46
Dmel	gnl|FlyBase|CG13364-RA	447	0.506	0.088	0.000	2	1	53	139
Dmel	gnl|FlyBase|CG17829-RA	2475	0.498	-0.063	0.000	3	2	127	725
Dmel	gnl|FlyBase|CG7622-RA	1135	0.502	-0.046	0.000	3	2	107	113
Dmel	gnl|FlyBase|CG6189-RA	3861	0.497	0.026	0.000	4	3	113	165
Dmel	gnl|FlyBase|CG7486-RE	1924	0.492	0.006	0.000	5	4	62	84
Dmel	gnl|FlyBase|CG6222-RA	7871	0.472	-0.015	0.000	6	5	504	419
Dmel	gnl|FlyBase|CG13367-RA	1626	0.549	-0.037	0.000	2	1	135	188
Dmel	gnl|FlyBase|CG16982-RC	1294	0.460	0.082	0.000	2	1	144	674
Dmel	gnl|FlyBase|CG13363-RA	7551	0.496	-0.011	0.000	3	2	667	1567
Dmel	gnl|FlyBase|CG16983-RA	1786	0.424	0.029	0.000	2	1	297	301
Dmel	gnl|FlyBase|CG5227-RG	62663	0.420	-0.001	0.000	16	15	367	1865
Dmel	gnl|FlyBase|CG13362-RA	2061	0.420	-0.083	0.000	3	2	132	585
Dmel	gnl|FlyBase|CG5254-RA	2534	0.468	-0.004	0.000	2	1	150	165
Dmel	gnl|FlyBase|CG13361-RA	1643	0.492	-0.058	0.000	2	1	0	128
Dmel	gnl|FlyBase|CG5273-RA	2346	0.550	-0.140	0.000	3	2	136	578
Dmel	gnl|FlyBase|CG7434-RA	2571	0.536	-0.049	0.000	3	2	35	165
Dmel	gnl|FlyBase|CG16785-RB	5569	0.455	-0.039	0.000	2	1	63	300
Dmel	gnl|FlyBase|CG12311-RA	3301	0.489	-0.044	0.000	10	9	159	214
Dmel	gnl|FlyBase|CG13360-RA	2235	0.466	-0.019	0.000	3	2	75	262
Dmel	gnl|FlyBase|CG16989-RA	3208	0.560	0.016	0.000	1	0	330	55
Dmel	gnl|FlyBase|CG7413-RA	4390	0.512	-0.062	0.000	8	7	694	387
Dmel	gnl|FlyBase|CG13359-RA	1802	0.488	0.017	0.000	1	0	44	276
Dmel	gnl|FlyBase|CG13358-RD	1498	0.517	-0.057	0.000	2	1	24	497
Dmel	gnl|FlyBase|CG7359-RB	2125	0.483	-0.037	0.000	4	3	409	698
Dmel	gnl|FlyBase|CG43867-RK	100978	0.436	-0.014	0.000	13	12	458	1481
Dmel	gnl|FlyBase|CG11663-RA	719	0.516	-0.202	0.000	2	1	39	136
Dmel	gnl|FlyBase|CG3711-RD	4415	0.501	0.028	0.000	6	5	135	924
Dmel	gnl|FlyBase|CG3034-RA	722	0.490	0.045	0.000	3	2	77	93
Dmel	gnl|FlyBase|CG3708-RB	1301	0.565	0.007	0.000	1	0	114	98
Dmel	gnl|FlyBase|CG3706-RA	1545	0.579	0.036	0.000	1	0	113	97
Dmel	gnl|FlyBase|CG32815-RC	6299	0.537	-0.019	0.000	4	3	319	1412
Dmel	gnl|FlyBase|CG11642-RA	2397	0.557	-0.019	0.000	2	1	303	367
Dmel	gnl|FlyBase|CG3704-RA	1636	0.519	0.048	0.000	3	2	72	294
Dmel	gnl|FlyBase|CG3026-RA	2155	0.497	0.051	0.000	1	0	119	755
Dmel	gnl|FlyBase|CG3703-RA	3300	0.499	-0.032	0.000	3	2	227	133
Dmel	gnl|FlyBase|CG3699-RA	839	0.567	0.025	0.000	1	0	16	67
Dmel	gnl|FlyBase|CG3690-RA	2849	0.459	-0.022	0.000	8	7	18	378
Dmel	gnl|FlyBase|CG18823-RA	667	0.447	0.047	0.000	1	0	64	282
Dmel	gnl|FlyBase|CG11639-RA	543	0.455	0.061	0.000	2	1	98	40
Dmel	gnl|FlyBase|CG14631-RA	590	0.502	0.068	0.000	1	0	78	113
Dmel	gnl|FlyBase|CG3019-RA	12725	0.415	-0.027	0.000	9	8	215	92
Dmel	gnl|FlyBase|CG11638-RA	12720	0.425	0.008	0.000	5	4	375	923
Dmel	gnl|FlyBase|CG32814-RB	6906	0.427	-0.013	0.000	3	2	194	735
Dmel	gnl|FlyBase|CG3021-RA	1500	0.519	-0.036	0.000	2	1	102	140
Dmel	gnl|FlyBase|CG3658-RA	2266	0.525	0.057	0.000	2	1	229	257
Dmel	gnl|FlyBase|CG33082-RA	855	0.529	0.004	0.000	2	1	85	159
Dmel	gnl|FlyBase|CG14630-RA	1670	0.492	0.019	0.000	2	1	28	109
Dmel	gnl|FlyBase|CG42259-RA	786	0.495	-0.003	0.000	2	1	261	171
Dmel	gnl|FlyBase|CG14629-RA	1107	0.565	-0.027	0.000	1	0	15	132
Dmel	gnl|FlyBase|CG3655-RC	8534	0.457	-0.006	0.000	4	3	1477	1498
Dmel	gnl|FlyBase|CG14628-RA	489	0.472	0.030	0.000	1	0	34	29
Dmel	gnl|FlyBase|CG32859-RA	3791	0.432	0.013	0.000	2	1	131	217
Dmel	gnl|FlyBase|CG11378-RA	1316	0.529	-0.069	0.000	2	1	99	161
Dmel	gnl|FlyBase|CG11384-RA	2159	0.501	-0.006	0.000	1	0	24	368
Dmel	gnl|FlyBase|CG11379-RA	783	0.554	-0.055	0.000	1	0	99	78
Dmel	gnl|FlyBase|CG14627-RA	1730	0.488	-0.150	0.000	2	1	182	435
Dmel	gnl|FlyBase|CG14626-RA	3808	0.468	-0.045	0.000	3	2	307	77
Dmel	gnl|FlyBase|CG11380-RA	5256	0.463	-0.079	0.000	3	2	288	706
Dmel	gnl|FlyBase|CG14625-RB	3612	0.480	-0.075	0.000	3	2	72	236
Dmel	gnl|FlyBase|CG11381-RA	1657	0.518	-0.180	0.000	2	1	85	207
Dmel	gnl|FlyBase|CG14624-RA	819	0.520	-0.150	0.000	1	0	32	94
Dmel	gnl|FlyBase|CG11382-RB	1884	0.541	-0.084	0.000	1	0	127	239
Dmel	gnl|FlyBase|CG11398-RA	1637	0.466	0.009	0.000	2	1	78	419
Dmel	gnl|FlyBase|CG3638-RG	17105	0.490	-0.018	0.000	10	9	666	1012
Dmel	gnl|FlyBase|CG11403-RA	3012	0.527	0.043	0.000	3	2	102	202
Dmel	gnl|FlyBase|CG11405-RB	32545	0.443	-0.055	0.000	5	4	1408	3550
Dmel	gnl|FlyBase|CG32812-RA	1656	0.528	-0.006	0.000	2	1	699	222
Dmel	gnl|FlyBase|CG14622-RD	18756	0.492	-0.008	0.000	10	9	349	729
Dmel	gnl|FlyBase|CG32811-RB	404	0.403	0.117	0.000	1	0	56	114
Dmel	gnl|FlyBase|CG11411-RA	6926	0.514	0.047	0.000	7	6	61	163
Dmel	gnl|FlyBase|CG11409-RB	8705	0.499	-0.034	0.000	3	2	344	273
Dmel	gnl|FlyBase|CG11412-RA	2665	0.502	0.002	0.000	3	2	386	827
Dmel	gnl|FlyBase|CG11418-RA	4486	0.540	0.009	0.000	3	2	111	369
Dmel	gnl|FlyBase|CG11415-RA	1591	0.513	-0.007	0.000	2	1	138	129
Dmel	gnl|FlyBase|CG12773-RA	4095	0.523	-0.007	0.000	7	6	493	991
Dmel	gnl|FlyBase|CG11417-RA	2460	0.567	0.112	0.000	1	0	81	63
Dmel	gnl|FlyBase|CG11420-RA	1114	0.580	-0.006	0.000	1	0	68	170
Dmel	gnl|FlyBase|CG14770-RA	928	0.483	-0.058	0.000	2	1	111	123
Dmel	gnl|FlyBase|CG3056-RD	4098	0.511	-0.070	0.000	7	6	161	1326
Dmel	gnl|FlyBase|CG3051-RA	3322	0.541	-0.038	0.000	3	2	267	692
Dmel	gnl|FlyBase|CG3719-RA	1596	0.514	-0.006	0.000	2	1	157	191
Dmel	gnl|FlyBase|CG32813-RH	6940	0.530	-0.007	0.000	3	2	487	1278
Dmel	gnl|FlyBase|CG11448-RC	4284	0.496	-0.035	0.000	5	4	490	1652
Dmel	gnl|FlyBase|CG34387-RC	37567	0.498	0.018	0.000	8	7	461	2351
Dmel	gnl|FlyBase|CG18531-RC	1748	0.562	-0.001	0.000	4	3	202	73
Dmel	gnl|FlyBase|CG14785-RA	1840	0.567	-0.083	0.000	3	2	108	192
Dmel	gnl|FlyBase|CG14786-RA	3443	0.595	-0.009	0.000	2	1	59	104
Dmel	gnl|FlyBase|CG14787-RA	870	0.598	0.038	0.000	1	0	31	56
Dmel	gnl|FlyBase|CG14788-RA	2241	0.554	-0.002	0.000	4	3	105	114
Dmel	gnl|FlyBase|CG14789-RA	1634	0.618	0.004	0.000	1	0	17	144
Dmel	gnl|FlyBase|CG14777-RB	1944	0.549	-0.067	0.000	5	4	193	75
Dmel	gnl|FlyBase|CG14778-RA	3122	0.568	-0.018	0.000	5	4	138	54
Dmel	gnl|FlyBase|CG32808-RA	1125	0.585	-0.033	0.000	2	1	171	37
Dmel	gnl|FlyBase|CG14779-RA	1660	0.503	-0.119	0.000	5	4	247	381
Dmel	gnl|FlyBase|CG14780-RA	1206	0.600	-0.035	0.000	3	2	44	129
Dmel	gnl|FlyBase|CG14791-RB	3091	0.583	0.003	0.000	3	2	662	93
Dmel	gnl|FlyBase|CG14781-RC	4358	0.543	-0.057	0.000	3	2	129	320
Dmel	gnl|FlyBase|CG14792-RA	1496	0.571	-0.084	0.000	3	2	206	90
Dmel	gnl|FlyBase|CG32810-RB	4546	0.480	-0.036	0.000	5	4	393	2225
Dmel	gnl|FlyBase|CG33513-RC	21583	0.516	-0.039	0.000	11	10	601	323
Dmel	gnl|FlyBase|CG14795-RB	577	0.551	0.057	0.000	3	2	37	69
Dmel	gnl|FlyBase|CG14796-RA	65877	0.489	-0.023	0.000	8	7	911	112
Dmel	gnl|FlyBase|CG11491-RP	37071	0.478	-0.056	0.000	8	7	880	272
Dmel	gnl|FlyBase|CG3093-RA	3400	0.549	-0.014	0.000	5	4	71	81
Dmel	gnl|FlyBase|CG3740-RA	892	0.528	0.019	0.000	2	1	288	118
Dmel	gnl|FlyBase|CG3095-RA	3541	0.506	-0.077	0.000	4	3	350	354
Dmel	gnl|FlyBase|CG32809-RG	19659	0.494	-0.074	0.000	18	17	375	2771
Dmel	gnl|FlyBase|CG14798-RA	1020	0.497	-0.002	0.000	3	2	269	146
Dmel	gnl|FlyBase|CG3771-RA	2275	0.557	-0.095	0.000	2	1	352	628
Dmel	gnl|FlyBase|CG3795-RA	1245	0.563	0.021	0.000	3	2	46	151
Dmel	gnl|FlyBase|CG14808-RA	8188	0.507	-0.004	0.000	6	5	421	513
Dmel	gnl|FlyBase|CG42666-RE	27871	0.437	-0.017	0.000	3	2	597	473
Dmel	gnl|FlyBase|CG12598-RN	14341	0.370	-0.002	0.000	12	11	502	4311
Dmel	gnl|FlyBase|CG32806-RA	853	0.450	-0.062	0.000	2	1	100	85
Dmel	gnl|FlyBase|CG14810-RA	847	0.464	0.059	0.000	3	2	63	48
Dmel	gnl|FlyBase|CG14811-RB	913	0.484	-0.095	0.000	2	1	104	31
Dmel	gnl|FlyBase|CG14812-RA	1001	0.469	-0.015	0.000	4	3	69	348
Dmel	gnl|FlyBase|CG14813-RA	2650	0.522	-0.002	0.000	8	7	193	378
Dmel	gnl|FlyBase|CG14814-RB	3701	0.516	-0.043	0.000	5	4	99	193
Dmel	gnl|FlyBase|CG14802-RA	979	0.495	-0.031	0.000	3	2	105	83
Dmel	gnl|FlyBase|CG14803-RA	3539	0.540	-0.017	0.000	3	2	53	57
Dmel	gnl|FlyBase|CG14816-RA	1166	0.544	-0.006	0.000	2	1	35	195
Dmel	gnl|FlyBase|CG14804-RA	2622	0.502	-0.002	0.000	2	1	285	821
Dmel	gnl|FlyBase|CG14817-RA	565	0.503	0.007	0.000	2	1	131	56
Dmel	gnl|FlyBase|CG14805-RA	1761	0.529	0.021	0.000	2	1	110	73
Dmel	gnl|FlyBase|CG14818-RA	562	0.495	-0.036	0.000	2	1	90	120
Dmel	gnl|FlyBase|CG14806-RA	1151	0.470	-0.035	0.000	3	2	291	197
Dmel	gnl|FlyBase|CG3848-RD	8638	0.540	-0.034	0.000	6	5	175	843
Dmel	gnl|FlyBase|CG3109-RA	1020	0.529	-0.052	0.000	3	2	91	46
Dmel	gnl|FlyBase|CG11579-RA	8773	0.467	-0.062	0.000	7	6	159	429
Dmel	gnl|FlyBase|CG32803-RC	1213	0.485	0.031	0.000	4	3	109	67
Dmel	gnl|FlyBase|CG32801-RA	1096	0.526	0.057	0.000	2	1	390	70
Dmel	gnl|FlyBase|CG3810-RE	4276	0.500	0.035	0.000	4	3	360	508
Dmel	gnl|FlyBase|CG3480-RA	12080	0.510	0.033	0.000	2	1	114	384
Dmel	gnl|FlyBase|CG17766-RA	7255	0.509	0.021	0.000	2	1	647	840
Dmel	gnl|FlyBase|CG3806-RA	2559	0.540	0.041	0.000	5	4	51	236
Dmel	gnl|FlyBase|CG3573-RA	4544	0.516	-0.036	0.000	9	8	777	358
Dmel	gnl|FlyBase|CG11596-RC	2828	0.469	-0.015	0.000	6	5	103	317
Dmel	gnl|FlyBase|CG3857-RA	2341	0.521	-0.002	0.000	1	0	86	791
Dmel	gnl|FlyBase|CG3587-RA	1230	0.524	-0.002	0.000	3	2	80	125
Dmel	gnl|FlyBase|CG43934-RI	63523	0.460	0.001	0.000	12	11	924	1042
Dmel	gnl|FlyBase|CG4406-RA	1454	0.480	0.000	0.000	5	4	68	67
Dmel	gnl|FlyBase|CG4399-RE	11793	0.505	0.015	0.000	8	7	281	188
Dmel	gnl|FlyBase|CG4376-RC	18490	0.472	-0.025	0.000	10	9	395	1719
Dmel	gnl|FlyBase|CG4380-RA	2515	0.529	-0.011	0.000	1	0	399	589
Dmel	gnl|FlyBase|CG4313-RD	2731	0.470	-0.046	0.000	3	2	62	469
Dmel	gnl|FlyBase|CG4325-RA	775	0.486	0.040	0.000	2	1	91	15
Dmel	gnl|FlyBase|CG4322-RA	4104	0.481	-0.065	0.000	5	4	85	843
Dmel	gnl|FlyBase|CG4290-RA	6606	0.539	-0.030	0.000	9	8	425	608
Dmel	gnl|FlyBase|CG4281-RA	2830	0.534	-0.040	0.000	4	3	151	422
Dmel	gnl|FlyBase|CG14054-RA	1087	0.489	-0.047	0.000	4	3	121	181
Dmel	gnl|FlyBase|CG4199-RB	5365	0.492	0.042	0.000	3	2	315	274
Dmel	gnl|FlyBase|CG4194-RA	1097	0.464	-0.018	0.000	1	0	15	287
Dmel	gnl|FlyBase|CG4061-RA	2478	0.513	-0.009	0.000	2	1	890	94
Dmel	gnl|FlyBase|CG4045-RA	1106	0.528	-0.010	0.000	4	3	80	72
Dmel	gnl|FlyBase|CG4025-RA	1490	0.511	-0.042	0.000	4	3	117	382
Dmel	gnl|FlyBase|CG16903-RA	2063	0.544	0.004	0.000	3	2	107	146
Dmel	gnl|FlyBase|CG3981-RA	12484	0.482	0.006	0.000	6	5	386	1049
Dmel	gnl|FlyBase|CG3954-RB	13413	0.454	-0.043	0.000	8	7	858	3968
Dmel	gnl|FlyBase|CG3895-RA	6066	0.523	-0.088	0.000	5	4	68	1139
Dmel	gnl|FlyBase|CG18412-RA	10413	0.465	-0.071	0.000	5	4	571	599
Dmel	gnl|FlyBase|CG3835-RA	2251	0.547	0.011	0.000	5	4	308	77
Dmel	gnl|FlyBase|CG3724-RA	3431	0.516	0.026	0.000	3	2	271	178
Dmel	gnl|FlyBase|CG3717-RA	1185	0.430	-0.069	0.000	3	2	166	303
Dmel	gnl|FlyBase|CG3707-RA	8877	0.516	-0.005	0.000	8	7	772	770
Dmel	gnl|FlyBase|CG3656-RA	1879	0.543	0.023	0.000	3	2	76	70
Dmel	gnl|FlyBase|CG3630-RA	5473	0.476	-0.042	0.000	4	3	479	353
Dmel	gnl|FlyBase|CG3621-RA	612	0.526	0.000	0.000	2	1	117	83
Dmel	gnl|FlyBase|CG3540-RB	1901	0.479	-0.019	0.000	3	2	79	82
Dmel	gnl|FlyBase|CG3466-RA	1838	0.504	-0.010	0.000	5	4	16	60
Dmel	gnl|FlyBase|CG10755-RA	1992	0.495	0.033	0.000	4	3	90	241
Dmel	gnl|FlyBase|CG3461-RA	1706	0.503	0.028	0.000	2	1	89	331
Dmel	gnl|FlyBase|CG3460-RA	1851	0.520	0.012	0.000	2	1	130	95
Dmel	gnl|FlyBase|CG17776-RA	372	0.551	-0.015	0.000	1	0	78	81
Dmel	gnl|FlyBase|CG17777-RB	768	0.497	-0.099	0.000	2	1	74	154
Dmel	gnl|FlyBase|CG3457-RA	891	0.533	-0.065	0.000	1	0	77	235
Dmel	gnl|FlyBase|CG3456-RA	10793	0.495	0.003	0.000	9	8	629	445
