Species	Accession	Length	GCContent	GCSkew	NContent	ExonCount	IntronCount	5pUTRlen	3pUTRlen
Agam	gnl|WGS:AAAB|AGAP000041-RA	5538	0.528	0.040	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000042-RA	5904	0.670	0.044	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000043-RA	5326	0.625	0.019	0.011	8	7	0	0
Agam	gnl|WGS:AAAB|AGAP000044-RA	2077	0.625	0.055	0.000	2	1	306	288
Agam	gnl|WGS:AAAB|AGAP000045-RA	38833	0.500	-0.054	0.021	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000046-RA	3859	0.518	-0.035	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000047-RA	2077	0.560	-0.152	0.000	2	1	268	169
Agam	gnl|WGS:AAAB|AGAP000048-RA	8101	0.602	0.055	0.057	5	4	0	251
Agam	gnl|WGS:AAAB|AGAP012954-RA	1577	0.439	-0.100	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000049-RA	6855	0.526	0.004	0.000	5	4	0	696
Agam	gnl|WGS:AAAB|AGAP000051-RA	2972	0.575	-0.015	0.000	7	6	0	291
Agam	gnl|WGS:AAAB|AGAP000053-RA	1495	0.606	0.046	0.000	2	1	71	133
Agam	gnl|WGS:AAAB|AGAP000054-RA	40667	0.494	-0.041	0.003	17	16	0	0
Agam	gnl|WGS:AAAB|AGAP013447-RA	1581	0.664	-0.186	0.000	1	0	0	0
Agam	gnl|WGS:AAAB|AGAP000055-RA	4596	0.525	0.010	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000056-RA	3507	0.516	-0.043	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP013380-RA	4115	0.565	0.015	0.000	9	8	0	0
Agam	gnl|WGS:AAAB|AGAP000057-RA	1862	0.615	-0.008	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000058-RA	14944	0.552	0.008	0.016	7	6	0	0
Agam	gnl|WGS:AAAB|AGAP000061-RA	6909	0.494	0.035	0.000	4	3	229	307
Agam	gnl|WGS:AAAB|AGAP000062-RA	12840	0.516	0.018	0.010	7	6	437	134
Agam	gnl|WGS:AAAB|AGAP000063-RA	3173	0.544	0.005	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP000064-RA	14086	0.546	0.020	0.039	10	9	178	378
Agam	gnl|WGS:AAAB|AGAP013381-RA	4759	0.605	-0.090	0.102	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000065-RA	11677	0.546	-0.014	0.062	22	21	0	0
Agam	gnl|WGS:AAAB|AGAP000066-RA	3554	0.593	0.009	0.190	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000067-RA	1251	0.578	-0.029	0.000	4	3	0	64
Agam	gnl|WGS:AAAB|AGAP000068-RA	10810	0.472	-0.046	0.000	5	4	0	475
Agam	gnl|WGS:AAAB|AGAP000069-RA	1297	0.665	-0.156	0.161	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP007278-RA	5737	0.486	-0.062	0.013	4	3	0	269
Agam	gnl|WGS:AAAB|AGAP000070-RA	5052	0.544	0.004	0.000	7	6	0	179
Agam	gnl|WGS:AAAB|AGAP000071-RA	1541	0.500	0.009	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP000072-RA	1443	0.512	0.015	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP000073-RA	4317	0.450	-0.044	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP013127-RA	1275	0.601	-0.042	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000074-RA	2956	0.556	0.005	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP013356-RA	3588	0.597	-0.072	0.000	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP000075-RA	4620	0.571	-0.027	0.018	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP013406-RA	627	0.563	-0.133	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000076-RA	6407	0.560	-0.029	0.000	5	4	495	513
Agam	gnl|WGS:AAAB|AGAP000078-RA	2051	0.615	0.101	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000079-RA	1431	0.614	0.051	0.000	1	0	381	0
Agam	gnl|WGS:AAAB|AGAP000080-RE	65178	0.478	-0.021	0.011	7	6	0	0
Agam	gnl|WGS:AAAB|AGAP000081-RA	3084	0.622	-0.001	0.000	2	1	207	0
Agam	gnl|WGS:AAAB|AGAP000082-RA	2613	0.605	0.086	0.000	2	1	0	487
Agam	gnl|WGS:AAAB|AGAP000083-RA	772	0.609	0.009	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000084-RA	2620	0.428	-0.035	0.000	2	1	719	744
Agam	gnl|WGS:AAAB|AGAP000085-RA	2601	0.498	0.021	0.000	4	3	235	0
Agam	gnl|WGS:AAAB|AGAP000088-RA	1625	0.535	0.033	0.000	1	0	80	0
Agam	gnl|WGS:AAAB|AGAP013099-RA	1218	0.667	0.073	0.000	1	0	0	0
Agam	gnl|WGS:AAAB|AGAP000090-RA	5437	0.639	-0.030	0.000	5	4	0	46
Agam	gnl|WGS:AAAB|AGAP000091-RA	2315	0.563	-0.002	0.000	4	3	224	0
Agam	gnl|WGS:AAAB|AGAP000092-RA	1535	0.566	-0.033	0.000	3	2	109	243
Agam	gnl|WGS:AAAB|AGAP000093-RA	1422	0.612	-0.037	0.000	2	1	301	54
Agam	gnl|WGS:AAAB|AGAP013034-RA	601	0.546	0.043	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000094-RA	1155	0.603	0.046	0.000	2	1	40	105
Agam	gnl|WGS:AAAB|AGAP000095-RA	7715	0.550	0.001	0.000	6	5	0	50
Agam	gnl|WGS:AAAB|AGAP000096-RA	1403	0.444	-0.014	0.000	3	2	305	717
Agam	gnl|WGS:AAAB|AGAP000097-RA	1586	0.561	-0.071	0.000	5	4	0	213
Agam	gnl|WGS:AAAB|AGAP000098-RA	1617	0.628	0.027	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000099-RA	11400	0.486	-0.027	0.000	8	7	0	0
Agam	gnl|WGS:AAAB|AGAP000100-RA	886	0.482	0.091	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP001493-RA	1464	0.661	-0.093	0.000	1	0	0	300
Agam	gnl|WGS:AAAB|AGAP000102-RA	3818	0.574	0.007	0.000	7	6	780	0
Agam	gnl|WGS:AAAB|AGAP000104-RA	7637	0.476	-0.005	0.000	3	2	414	339
Agam	gnl|WGS:AAAB|AGAP000105-RA	2503	0.589	0.074	0.000	4	3	47	0
Agam	gnl|WGS:AAAB|AGAP000106-RA	12089	0.528	0.014	0.000	5	4	52	444
Agam	gnl|WGS:AAAB|AGAP000107-RA	4550	0.554	0.009	0.000	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP012956-RA	10669	0.462	0.057	0.002	2	1	2342	4995
Agam	gnl|WGS:AAAB|AGAP000108-RA	1192	0.528	-0.119	0.000	3	2	249	350
Agam	gnl|WGS:AAAB|AGAP000109-RA	1122	0.524	-0.054	0.000	3	2	131	450
Agam	gnl|WGS:AAAB|AGAP000110-RA	952	0.591	0.005	0.000	3	2	28	155
Agam	gnl|WGS:AAAB|AGAP000111-RA	1197	0.525	0.072	0.000	2	1	139	166
Agam	gnl|WGS:AAAB|AGAP000112-RA	37552	0.515	0.032	0.010	4	3	542	403
Agam	gnl|WGS:AAAB|AGAP013390-RA	3146	0.546	-0.030	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP000113-RA	10219	0.509	-0.041	0.000	11	10	0	0
Agam	gnl|WGS:AAAB|AGAP000114-RA	4591	0.656	-0.026	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000115-RA	1251	0.670	-0.050	0.000	1	0	0	0
Agam	gnl|WGS:AAAB|AGAP000116-RA	5289	0.529	0.090	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000117-RA	5981	0.486	-0.083	0.000	6	5	548	0
Agam	gnl|WGS:AAAB|AGAP000118-RA	1354	0.525	0.046	0.000	3	2	308	286
Agam	gnl|WGS:AAAB|AGAP000119-RA	1235	0.604	-0.021	0.000	3	2	71	0
Agam	gnl|WGS:AAAB|AGAP000120-RA	1218	0.595	0.073	0.000	2	1	158	200
Agam	gnl|WGS:AAAB|AGAP013279-RA	1237	0.638	0.032	0.324	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000121-RA	2643	0.705	0.039	0.012	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000123-RA	12977	0.514	-0.075	0.000	9	8	0	0
Agam	gnl|WGS:AAAB|AGAP000124-RA	7797	0.545	0.019	0.000	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP000126-RA	6082	0.617	0.069	0.000	4	3	0	142
Agam	gnl|WGS:AAAB|AGAP000127-RA	1433	0.585	-0.001	0.000	5	4	135	0
Agam	gnl|WGS:AAAB|AGAP013435-RA	1743	0.586	0.027	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP013373-RA	2666	0.478	-0.038	0.000	2	1	0	84
Agam	gnl|WGS:AAAB|AGAP000128-RA	3852	0.483	-0.010	0.000	9	8	304	620
Agam	gnl|WGS:AAAB|AGAP012973-RA	1734	0.656	0.001	0.000	1	0	0	0
Agam	gnl|WGS:AAAB|AGAP000129-RA	7789	0.553	0.038	0.000	7	6	267	378
Agam	gnl|WGS:AAAB|AGAP000130-RA	2639	0.590	-0.047	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000131-RA	5066	0.544	0.003	0.000	7	6	0	215
Agam	gnl|WGS:AAAB|AGAP000132-RA	676	0.522	-0.025	0.000	2	1	152	65
Agam	gnl|WGS:AAAB|AGAP000133-RA	864	0.479	-0.005	0.000	3	2	75	40
Agam	gnl|WGS:AAAB|AGAP000134-RA	1934	0.466	0.002	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000135-RA	697	0.422	-0.054	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000136-RA	4542	0.622	0.029	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000137-RA	2805	0.559	0.022	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000138-RA	19283	0.380	-0.116	0.004	12	11	0	0
Agam	gnl|WGS:AAAB|AGAP000139-RA	4875	0.589	0.026	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000140-RA	3002	0.583	0.043	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000141-RA	7899	0.603	0.048	0.000	3	2	0	332
Agam	gnl|WGS:AAAB|AGAP000142-RA	7152	0.540	-0.009	0.061	8	7	0	0
Agam	gnl|WGS:AAAB|AGAP000143-RA	5215	0.550	0.039	0.004	7	6	218	155
Agam	gnl|WGS:AAAB|AGAP000144-RA	3764	0.484	-0.099	0.000	4	3	0	216
Agam	gnl|WGS:AAAB|AGAP000145-RA	15342	0.476	0.013	0.012	6	5	916	81
Agam	gnl|WGS:AAAB|AGAP000146-RA	7490	0.542	-0.003	0.000	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP000147-RA	2980	0.612	0.053	0.000	4	3	643	0
Agam	gnl|WGS:AAAB|AGAP000149-RA	7626	0.500	0.030	0.000	7	6	0	1990
Agam	gnl|WGS:AAAB|AGAP000150-RA	662	0.521	0.101	0.000	1	0	78	236
Agam	gnl|WGS:AAAB|AGAP000151-RA	712	0.438	0.045	0.000	2	1	36	375
Agam	gnl|WGS:AAAB|AGAP000152-RA	631	0.412	0.046	0.000	2	1	37	293
Agam	gnl|WGS:AAAB|AGAP000153-RA	11278	0.563	-0.057	0.000	13	12	0	0
Agam	gnl|WGS:AAAB|AGAP013500-RA	1314	0.588	0.034	0.000	1	0	0	12
Agam	gnl|WGS:AAAB|AGAP000154-RA	1818	0.683	0.047	0.000	2	1	19	55
Agam	gnl|WGS:AAAB|AGAP000155-RA	1177	0.621	0.010	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP013158-RA	810	0.663	-0.006	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000156-RA	1063	0.636	-0.009	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000158-RA	3074	0.517	0.025	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000159-RA	36065	0.485	0.019	0.001	10	9	467	201
Agam	gnl|WGS:AAAB|AGAP000160-RA	1682	0.479	-0.063	0.000	3	2	2	127
Agam	gnl|WGS:AAAB|AGAP000161-RA	7368	0.524	0.032	0.003	11	10	0	0
Agam	gnl|WGS:AAAB|AGAP000162-RA	4024	0.503	0.055	0.000	6	5	306	144
Agam	gnl|WGS:AAAB|AGAP000163-RA	2446	0.484	-0.005	0.000	3	2	110	79
Agam	gnl|WGS:AAAB|AGAP000164-RA	1020	0.536	-0.038	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000165-RA	1722	0.488	0.002	0.000	3	2	90	144
Agam	gnl|WGS:AAAB|AGAP000166-RA	1779	0.521	-0.038	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000167-RA	4414	0.556	0.005	0.005	3	2	766	710
Agam	gnl|WGS:AAAB|AGAP000168-RA	2291	0.698	-0.065	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000169-RA	5401	0.580	0.046	0.000	3	2	0	78
Agam	gnl|WGS:AAAB|AGAP000170-RA	1124	0.571	-0.009	0.000	2	1	226	115
Agam	gnl|WGS:AAAB|AGAP000171-RA	9662	0.544	0.007	0.000	9	8	0	0
Agam	gnl|WGS:AAAB|AGAP000172-RA	1032	0.585	0.003	0.000	3	2	223	0
Agam	gnl|WGS:AAAB|AGAP013407-RA	888	0.524	-0.166	0.000	3	2	222	124
Agam	gnl|WGS:AAAB|AGAP000173-RA	2900	0.463	0.010	0.000	6	5	313	207
Agam	gnl|WGS:AAAB|AGAP000175-RA	7116	0.508	-0.010	0.000	7	6	551	0
Agam	gnl|WGS:AAAB|AGAP012978-RA	4292	0.471	-0.056	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000176-RA	1174	0.669	-0.022	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP013003-RA	1267	0.603	-0.031	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000177-RA	1031	0.515	0.066	0.000	3	2	177	264
Agam	gnl|WGS:AAAB|AGAP000178-RA	4828	0.611	0.041	0.000	6	5	94	82
Agam	gnl|WGS:AAAB|AGAP000179-RA	2177	0.602	0.054	0.000	4	3	0	191
Agam	gnl|WGS:AAAB|AGAP000180-RA	1742	0.590	0.049	0.000	3	2	130	88
Agam	gnl|WGS:AAAB|AGAP000181-RA	1792	0.583	-0.010	0.000	2	1	380	0
Agam	gnl|WGS:AAAB|AGAP000182-RA	2182	0.534	-0.030	0.000	3	2	28	526
Agam	gnl|WGS:AAAB|AGAP000183-RA	1252	0.478	0.042	0.000	3	2	19	262
Agam	gnl|WGS:AAAB|AGAP000184-RB	9087	0.505	0.018	0.000	3	2	232	459
Agam	gnl|WGS:AAAB|AGAP000185-RA	9244	0.511	-0.148	0.000	7	6	0	0
Agam	gnl|WGS:AAAB|AGAP013399-RA	704	0.472	-0.006	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000186-RA	713	0.470	0.003	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000187-RA	5223	0.518	0.003	0.000	8	7	24	0
Agam	gnl|WGS:AAAB|AGAP000188-RA	4735	0.482	0.021	0.000	7	6	293	0
Agam	gnl|WGS:AAAB|AGAP000189-RA	6160	0.640	0.043	0.000	2	1	368	658
Agam	gnl|WGS:AAAB|AGAP000190-RA	37793	0.482	-0.004	0.003	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000191-RA	1460	0.621	-0.061	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000192-RA	4310	0.521	0.005	0.005	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP000193-RA	3386	0.506	0.045	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP000194-RA	9881	0.485	-0.048	0.000	5	4	0	0
Agam	gnl|WGS:AAAB|AGAP000195-RA	6562	0.521	0.032	0.000	7	6	0	0
Agam	gnl|WGS:AAAB|AGAP000196-RA	2430	0.570	-0.003	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000198-RA	22907	0.545	-0.038	0.003	10	9	0	0
Agam	gnl|WGS:AAAB|AGAP000199-RA	4859	0.508	0.013	0.000	4	3	260	354
Agam	gnl|WGS:AAAB|AGAP000200-RA	8639	0.478	-0.013	0.000	7	6	0	0
Agam	gnl|WGS:AAAB|AGAP000201-RA	1084	0.506	0.084	0.000	4	3	118	86
Agam	gnl|WGS:AAAB|AGAP000202-RA	325	0.622	0.089	0.000	1	0	2	47
Agam	gnl|WGS:AAAB|AGAP000203-RA	7310	0.488	0.005	0.060	8	7	0	0
Agam	gnl|WGS:AAAB|AGAP000204-RA	1313	0.484	0.052	0.000	3	2	237	242
Agam	gnl|WGS:AAAB|AGAP000205-RB	14106	0.562	-0.025	0.000	5	4	284	0
Agam	gnl|WGS:AAAB|AGAP000206-RA	1052	0.412	-0.062	0.000	2	1	382	114
Agam	gnl|WGS:AAAB|AGAP000207-RA	22130	0.468	0.022	0.001	6	5	0	14
Agam	gnl|WGS:AAAB|AGAP000208-RB	3509	0.425	-0.003	0.000	4	3	0	242
Agam	gnl|WGS:AAAB|AGAP000209-RA	11877	0.511	0.025	0.000	9	8	0	0
Agam	gnl|WGS:AAAB|AGAP000210-RA	2293	0.550	-0.013	0.000	5	4	397	0
Agam	gnl|WGS:AAAB|AGAP000211-RA	2259	0.569	0.033	0.000	5	4	111	202
Agam	gnl|WGS:AAAB|AGAP000214-RA	8991	0.502	-0.011	0.000	10	9	0	0
Agam	gnl|WGS:AAAB|AGAP000213-RA	1196	0.601	-0.004	0.000	3	2	26	12
Agam	gnl|WGS:AAAB|AGAP000215-RA	9416	0.538	-0.022	0.017	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000216-RA	1667	0.639	0.018	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000217-RA	7531	0.528	-0.110	0.000	7	6	0	0
Agam	gnl|WGS:AAAB|AGAP000218-RA	3919	0.566	0.052	0.000	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP000219-RA	5940	0.540	-0.063	0.009	6	5	0	27
Agam	gnl|WGS:AAAB|AGAP000220-RA	4894	0.511	0.049	0.000	4	3	157	403
Agam	gnl|WGS:AAAB|AGAP000222-RA	28617	0.545	-0.030	0.001	15	14	0	205
Agam	gnl|WGS:AAAB|AGAP000223-RA	7503	0.482	0.023	0.000	7	6	0	603
Agam	gnl|WGS:AAAB|AGAP000225-RA	57484	0.484	-0.020	0.000	8	7	0	0
Agam	gnl|WGS:AAAB|AGAP013512-RA	970	0.559	-0.007	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000226-RA	1390	0.565	-0.039	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000228-RA	57007	0.501	0.015	0.000	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP000230-RA	1311	0.609	-0.034	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP012975-RA	823	0.513	-0.081	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000232-RA	7329	0.547	-0.012	0.000	10	9	0	0
Agam	gnl|WGS:AAAB|AGAP000233-RA	4720	0.605	-0.023	0.000	13	12	0	0
Agam	gnl|WGS:AAAB|AGAP000234-RA	20095	0.500	0.038	0.008	11	10	960	74
Agam	gnl|WGS:AAAB|AGAP013530-RA	798	0.647	-0.171	0.000	1	0	0	0
Agam	gnl|WGS:AAAB|AGAP000235-RA	15131	0.479	0.018	0.006	3	2	382	1601
Agam	gnl|WGS:AAAB|AGAP000236-RB	15928	0.532	0.052	0.000	11	10	0	191
Agam	gnl|WGS:AAAB|AGAP000237-RA	5601	0.465	-0.113	0.000	6	5	0	0
Agam	gnl|WGS:AAAB|AGAP000238-RA	1840	0.655	-0.016	0.011	4	3	0	117
Agam	gnl|WGS:AAAB|AGAP000239-RA	1640	0.620	0.042	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000240-RA	1664	0.609	-0.015	0.000	3	2	83	124
Agam	gnl|WGS:AAAB|AGAP000241-RA	9913	0.467	0.025	0.000	4	3	438	531
Agam	gnl|WGS:AAAB|AGAP000242-RA	1069	0.603	0.026	0.000	3	2	192	0
Agam	gnl|WGS:AAAB|AGAP000243-RB	4056	0.557	-0.004	0.039	8	7	0	76
Agam	gnl|WGS:AAAB|AGAP000244-RA	1376	0.517	0.056	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000245-RA	4082	0.498	0.017	0.000	4	3	361	0
Agam	gnl|WGS:AAAB|AGAP000246-RA	1464	0.645	0.079	0.000	3	2	0	0
Agam	gnl|WGS:AAAB|AGAP000247-RA	14055	0.509	-0.058	0.000	5	4	333	9
Agam	gnl|WGS:AAAB|AGAP000248-RA	1866	0.692	0.101	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000249-RA	2849	0.598	0.001	0.000	3	2	0	92
Agam	gnl|WGS:AAAB|AGAP000250-RA	1757	0.541	0.080	0.000	4	3	221	219
Agam	gnl|WGS:AAAB|AGAP000251-RA	3537	0.573	-0.018	0.000	6	5	460	0
Agam	gnl|WGS:AAAB|AGAP000252-RA	3029	0.636	0.057	0.000	2	1	287	297
Agam	gnl|WGS:AAAB|AGAP000253-RA	1426	0.591	0.011	0.000	2	1	0	398
Agam	gnl|WGS:AAAB|AGAP013046-RA	1116	0.668	-0.085	0.000	1	0	0	0
Agam	gnl|WGS:AAAB|AGAP000254-RA	19005	0.460	-0.150	0.005	10	9	0	0
Agam	gnl|WGS:AAAB|AGAP000255-RE	45989	0.466	0.003	0.000	19	18	796	0
Agam	gnl|WGS:AAAB|AGAP013258-RA	2775	0.690	-0.145	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000256-RA	5100	0.527	0.010	0.000	16	15	0	0
Agam	gnl|WGS:AAAB|AGAP000258-RA	1525	0.620	-0.010	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000260-RA	1685	0.445	0.047	0.000	4	3	104	138
Agam	gnl|WGS:AAAB|AGAP000261-RA	1911	0.615	0.127	0.000	3	2	155	0
Agam	gnl|WGS:AAAB|AGAP000262-RA	5349	0.604	0.002	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000264-RA	15392	0.522	-0.015	0.000	9	8	984	166
Agam	gnl|WGS:AAAB|AGAP000266-RA	1324	0.622	-0.045	0.000	4	3	0	0
Agam	gnl|WGS:AAAB|AGAP000267-RA	4118	0.540	0.021	0.000	3	2	226	152
Agam	gnl|WGS:AAAB|AGAP000268-RA	945	0.633	0.000	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000269-RA	3469	0.601	-0.013	0.000	4	3	338	0
Agam	gnl|WGS:AAAB|AGAP000270-RA	1817	0.577	0.083	0.000	2	1	59	421
Agam	gnl|WGS:AAAB|AGAP000271-RA	5027	0.551	0.058	0.000	5	4	314	0
Agam	gnl|WGS:AAAB|AGAP000272-RA	1852	0.496	0.031	0.000	2	1	285	946
Agam	gnl|WGS:AAAB|AGAP000273-RA	7881	0.557	0.059	0.000	6	5	0	120
Agam	gnl|WGS:AAAB|AGAP000274-RA	859	0.538	-0.009	0.000	2	1	41	280
Agam	gnl|WGS:AAAB|AGAP000275-RA	11707	0.517	-0.038	0.000	5	4	315	315
Agam	gnl|WGS:AAAB|AGAP012953-RA	3784	0.520	-0.063	0.000	4	3	742	117
Agam	gnl|WGS:AAAB|AGAP000277-RA	6553	0.464	0.045	0.000	5	4	934	0
Agam	gnl|WGS:AAAB|AGAP000278-RA	853	0.573	0.067	0.000	2	1	101	252
Agam	gnl|WGS:AAAB|AGAP000279-RA	688	0.615	-0.017	0.000	2	1	0	0
Agam	gnl|WGS:AAAB|AGAP000280-RA	3478	0.599	-0.044	0.000	6	5	207	249
Agam	gnl|WGS:AAAB|AGAP000281-RA	23185	0.464	-0.014	0.020	7	6	0	661
Agam	gnl|WGS:AAAB|AGAP000283-RA	2090	0.567	0.105	0.000	6	5	0	303
Agam	gnl|WGS:AAAB|AGAP000284-RA	2538	0.522	-0.011	0.000	8	7	68	0
