piLocusID	MrnaID
AgamILC-00082	gnl|WGS:AAAB|AGAP000053-RA
AgamILC-00084	gnl|WGS:AAAB|AGAP000054-RA
AgamILC-00085	gnl|WGS:AAAB|AGAP013447-RA
AgamILC-00087	gnl|WGS:AAAB|AGAP000055-RA
AgamILC-00089	gnl|WGS:AAAB|AGAP000056-RA
AgamILC-00091	gnl|WGS:AAAB|AGAP013380-RA
AgamILC-00093	gnl|WGS:AAAB|AGAP000057-RA
AgamILC-00095	gnl|WGS:AAAB|AGAP000058-RA
AgamILC-00097	gnl|WGS:AAAB|AGAP000061-RA
AgamILC-00099	gnl|WGS:AAAB|AGAP000062-RA
AgamILC-00101	gnl|WGS:AAAB|AGAP000063-RA
AgamILC-00103	gnl|WGS:AAAB|AGAP000064-RA
AgamILC-00105	gnl|WGS:AAAB|AGAP013381-RA
AgamILC-00107	gnl|WGS:AAAB|AGAP000065-RA
AgamILC-00108	gnl|WGS:AAAB|AGAP000066-RA
AgamILC-00110	gnl|WGS:AAAB|AGAP000067-RA
AgamILC-00112	gnl|WGS:AAAB|AGAP000068-RA
AgamILC-00114	gnl|WGS:AAAB|AGAP000069-RA
AgamILC-00116	gnl|WGS:AAAB|AGAP007278-RA
AgamILC-00118	gnl|WGS:AAAB|AGAP000070-RA
AgamILC-00120	gnl|WGS:AAAB|AGAP000071-RA
AgamILC-00122	gnl|WGS:AAAB|AGAP000072-RA
AgamILC-00124	gnl|WGS:AAAB|AGAP000073-RA
AgamILC-00126	gnl|WGS:AAAB|AGAP013127-RA
AgamILC-00127	gnl|WGS:AAAB|AGAP000074-RA
AgamILC-00131	gnl|WGS:AAAB|AGAP013356-RA
AgamILC-00133	gnl|WGS:AAAB|AGAP000075-RA
AgamILC-00135	gnl|WGS:AAAB|AGAP013406-RA
AgamILC-00136	gnl|WGS:AAAB|AGAP000076-RA
AgamILC-00138	gnl|WGS:AAAB|AGAP000078-RA
AgamILC-00140	gnl|WGS:AAAB|AGAP000079-RA
AgamILC-00142	gnl|WGS:AAAB|AGAP000080-RE
AgamILC-00144	gnl|WGS:AAAB|AGAP000081-RA
AgamILC-00146	gnl|WGS:AAAB|AGAP000082-RA
AgamILC-00148	gnl|WGS:AAAB|AGAP000083-RA
AgamILC-00149	gnl|WGS:AAAB|AGAP000084-RA
AgamILC-00150	gnl|WGS:AAAB|AGAP000085-RA
AgamILC-00152	gnl|WGS:AAAB|AGAP000088-RA
AgamILC-00154	gnl|WGS:AAAB|AGAP013099-RA
AgamILC-00156	gnl|WGS:AAAB|AGAP000090-RA
AgamILC-00158	gnl|WGS:AAAB|AGAP000091-RA
AgamILC-00160	gnl|WGS:AAAB|AGAP000092-RA
AgamILC-00162	gnl|WGS:AAAB|AGAP000093-RA
AgamILC-00164	gnl|WGS:AAAB|AGAP013034-RA
AgamILC-00166	gnl|WGS:AAAB|AGAP000094-RA
AgamILC-00167	gnl|WGS:AAAB|AGAP000095-RA
AgamILC-00169	gnl|WGS:AAAB|AGAP000096-RA
AgamILC-00171	gnl|WGS:AAAB|AGAP000097-RA
AgamILC-00173	gnl|WGS:AAAB|AGAP000098-RA
AgamILC-00175	gnl|WGS:AAAB|AGAP000099-RA
AgamILC-00177	gnl|WGS:AAAB|AGAP000100-RA
AgamILC-00179	gnl|WGS:AAAB|AGAP001493-RA
AgamILC-00181	gnl|WGS:AAAB|AGAP000102-RA
AgamILC-00182	gnl|WGS:AAAB|AGAP000104-RA
AgamILC-00184	gnl|WGS:AAAB|AGAP000105-RA
AgamILC-00185	gnl|WGS:AAAB|AGAP000106-RA
AgamILC-00186	gnl|WGS:AAAB|AGAP000107-RA
AgamILC-00188	gnl|WGS:AAAB|AGAP012956-RA
AgamILC-00190	gnl|WGS:AAAB|AGAP000108-RA
AgamILC-00192	gnl|WGS:AAAB|AGAP000109-RA
AgamILC-00193	gnl|WGS:AAAB|AGAP000110-RA
AgamILC-00195	gnl|WGS:AAAB|AGAP000111-RA
AgamILC-00196	gnl|WGS:AAAB|AGAP000112-RA
AgamILC-00197	gnl|WGS:AAAB|AGAP013390-RA
AgamILC-00198	gnl|WGS:AAAB|AGAP000113-RA
AgamILC-00200	gnl|WGS:AAAB|AGAP000114-RA
AgamILC-00202	gnl|WGS:AAAB|AGAP000115-RA
AgamILC-00204	gnl|WGS:AAAB|AGAP000116-RA
AgamILC-00206	gnl|WGS:AAAB|AGAP000117-RA
AgamILC-00208	gnl|WGS:AAAB|AGAP000118-RA
AgamILC-00210	gnl|WGS:AAAB|AGAP000119-RA
AgamILC-00211	gnl|WGS:AAAB|AGAP000120-RA
AgamILC-00212	gnl|WGS:AAAB|AGAP013279-RA
AgamILC-00214	gnl|WGS:AAAB|AGAP000121-RA
AgamILC-00216	gnl|WGS:AAAB|AGAP000123-RA
AgamILC-00218	gnl|WGS:AAAB|AGAP000124-RA
AgamILC-00220	gnl|WGS:AAAB|AGAP000126-RA
AgamILC-00222	gnl|WGS:AAAB|AGAP000127-RA
AgamILC-00224	gnl|WGS:AAAB|AGAP013435-RA
AgamILC-00226	gnl|WGS:AAAB|AGAP013373-RA
AgamILC-00228	gnl|WGS:AAAB|AGAP000128-RA
AgamILC-00230	gnl|WGS:AAAB|AGAP012973-RA
AgamILC-00231	gnl|WGS:AAAB|AGAP000129-RA
AgamILC-00232	gnl|WGS:AAAB|AGAP000130-RA
AgamILC-00234	gnl|WGS:AAAB|AGAP000131-RA
AgamILC-00235	gnl|WGS:AAAB|AGAP000132-RA
AgamILC-00237	gnl|WGS:AAAB|AGAP000133-RA
AgamILC-00239	gnl|WGS:AAAB|AGAP000134-RA
AgamILC-00241	gnl|WGS:AAAB|AGAP000135-RA
AgamILC-00243	gnl|WGS:AAAB|AGAP000136-RA
AgamILC-00245	gnl|WGS:AAAB|AGAP000137-RA
AgamILC-00247	gnl|WGS:AAAB|AGAP000138-RA
AgamILC-00249	gnl|WGS:AAAB|AGAP000139-RA
AgamILC-00250	gnl|WGS:AAAB|AGAP000140-RA
AgamILC-00252	gnl|WGS:AAAB|AGAP000141-RA
AgamILC-00254	gnl|WGS:AAAB|AGAP000142-RA
AgamILC-00256	gnl|WGS:AAAB|AGAP000143-RA
AgamILC-00258	gnl|WGS:AAAB|AGAP000144-RA
AgamILC-00260	gnl|WGS:AAAB|AGAP000145-RA
AgamILC-00262	gnl|WGS:AAAB|AGAP000146-RA
AgamILC-00264	gnl|WGS:AAAB|AGAP000147-RA
AgamILC-00266	gnl|WGS:AAAB|AGAP000149-RA
AgamILC-00268	gnl|WGS:AAAB|AGAP000150-RA
AgamILC-00270	gnl|WGS:AAAB|AGAP000151-RA
AgamILC-00271	gnl|WGS:AAAB|AGAP000152-RA
AgamILC-00273	gnl|WGS:AAAB|AGAP000153-RA
AgamILC-00275	gnl|WGS:AAAB|AGAP013500-RA
AgamILC-00277	gnl|WGS:AAAB|AGAP000154-RA
AgamILC-00279	gnl|WGS:AAAB|AGAP000155-RA
AgamILC-00281	gnl|WGS:AAAB|AGAP013158-RA
AgamILC-00283	gnl|WGS:AAAB|AGAP000156-RA
AgamILC-00285	gnl|WGS:AAAB|AGAP000158-RA
AgamILC-00287	gnl|WGS:AAAB|AGAP000159-RA
AgamILC-00288	gnl|WGS:AAAB|AGAP000160-RA
AgamILC-00290	gnl|WGS:AAAB|AGAP000161-RA
AgamILC-00292	gnl|WGS:AAAB|AGAP000162-RA
AgamILC-00294	gnl|WGS:AAAB|AGAP000163-RA
AgamILC-00296	gnl|WGS:AAAB|AGAP000164-RA
AgamILC-00297	gnl|WGS:AAAB|AGAP000165-RA
AgamILC-00299	gnl|WGS:AAAB|AGAP000166-RA
AgamILC-00301	gnl|WGS:AAAB|AGAP000167-RA
AgamILC-00303	gnl|WGS:AAAB|AGAP000168-RA
AgamILC-00305	gnl|WGS:AAAB|AGAP000169-RA
AgamILC-00307	gnl|WGS:AAAB|AGAP000170-RA
AgamILC-00309	gnl|WGS:AAAB|AGAP000171-RA
AgamILC-00311	gnl|WGS:AAAB|AGAP000172-RA
AgamILC-00312	gnl|WGS:AAAB|AGAP013407-RA
AgamILC-00314	gnl|WGS:AAAB|AGAP000173-RA
AgamILC-00316	gnl|WGS:AAAB|AGAP000175-RA
AgamILC-00318	gnl|WGS:AAAB|AGAP012978-RA
AgamILC-00320	gnl|WGS:AAAB|AGAP000176-RA
AgamILC-00322	gnl|WGS:AAAB|AGAP013003-RA
AgamILC-00324	gnl|WGS:AAAB|AGAP000177-RA
AgamILC-00326	gnl|WGS:AAAB|AGAP000178-RA
AgamILC-00327	gnl|WGS:AAAB|AGAP000179-RA
AgamILC-00329	gnl|WGS:AAAB|AGAP000180-RA
AgamILC-00331	gnl|WGS:AAAB|AGAP000181-RA
AgamILC-00332	gnl|WGS:AAAB|AGAP000182-RA
AgamILC-00333	gnl|WGS:AAAB|AGAP000183-RA
AgamILC-00335	gnl|WGS:AAAB|AGAP000184-RB
AgamILC-00337	gnl|WGS:AAAB|AGAP000185-RA
AgamILC-00339	gnl|WGS:AAAB|AGAP013399-RA
AgamILC-00341	gnl|WGS:AAAB|AGAP000186-RA
AgamILC-00343	gnl|WGS:AAAB|AGAP000187-RA
AgamILC-00345	gnl|WGS:AAAB|AGAP000188-RA
AgamILC-00347	gnl|WGS:AAAB|AGAP000189-RA
AgamILC-00349	gnl|WGS:AAAB|AGAP000190-RA
AgamILC-00351	gnl|WGS:AAAB|AGAP000191-RA
AgamILC-00353	gnl|WGS:AAAB|AGAP000192-RA
AgamILC-00355	gnl|WGS:AAAB|AGAP000193-RA
AgamILC-00357	gnl|WGS:AAAB|AGAP000194-RA
AgamILC-00359	gnl|WGS:AAAB|AGAP000195-RA
AgamILC-00361	gnl|WGS:AAAB|AGAP000196-RA
AgamILC-00363	gnl|WGS:AAAB|AGAP000198-RA
AgamILC-00364	gnl|WGS:AAAB|AGAP000199-RA
AgamILC-00366	gnl|WGS:AAAB|AGAP000200-RA
AgamILC-00368	gnl|WGS:AAAB|AGAP000201-RA
AgamILC-00370	gnl|WGS:AAAB|AGAP000202-RA
AgamILC-00372	gnl|WGS:AAAB|AGAP000203-RA
AgamILC-00374	gnl|WGS:AAAB|AGAP000204-RA
AgamILC-00376	gnl|WGS:AAAB|AGAP000205-RB
AgamILC-00378	gnl|WGS:AAAB|AGAP000206-RA
AgamILC-00380	gnl|WGS:AAAB|AGAP000207-RA
AgamILC-00382	gnl|WGS:AAAB|AGAP000208-RB
AgamILC-00384	gnl|WGS:AAAB|AGAP000209-RA
AgamILC-00385	gnl|WGS:AAAB|AGAP000210-RA
AgamILC-00386	gnl|WGS:AAAB|AGAP000211-RA
AgamILC-00388	gnl|WGS:AAAB|AGAP000214-RA
AgamILC-00389	gnl|WGS:AAAB|AGAP000213-RA
AgamILC-00391	gnl|WGS:AAAB|AGAP000215-RA
AgamILC-00393	gnl|WGS:AAAB|AGAP000216-RA
AgamILC-00395	gnl|WGS:AAAB|AGAP000217-RA
AgamILC-00397	gnl|WGS:AAAB|AGAP000218-RA
AgamILC-00399	gnl|WGS:AAAB|AGAP000219-RA
AgamILC-00400	gnl|WGS:AAAB|AGAP000220-RA
AgamILC-00402	gnl|WGS:AAAB|AGAP000222-RA
AgamILC-00404	gnl|WGS:AAAB|AGAP000223-RA
AgamILC-00406	gnl|WGS:AAAB|AGAP000225-RA
AgamILC-00409	gnl|WGS:AAAB|AGAP013512-RA
AgamILC-00410	gnl|WGS:AAAB|AGAP000226-RA
AgamILC-00412	gnl|WGS:AAAB|AGAP000228-RA
AgamILC-00415	gnl|WGS:AAAB|AGAP000230-RA
AgamILC-00416	gnl|WGS:AAAB|AGAP012975-RA
AgamILC-00418	gnl|WGS:AAAB|AGAP000232-RA
AgamILC-00420	gnl|WGS:AAAB|AGAP000233-RA
AgamILC-00422	gnl|WGS:AAAB|AGAP000234-RA
AgamILC-00423	gnl|WGS:AAAB|AGAP013530-RA
AgamILC-00425	gnl|WGS:AAAB|AGAP000235-RA
AgamILC-00427	gnl|WGS:AAAB|AGAP000236-RB
AgamILC-00429	gnl|WGS:AAAB|AGAP000237-RA
AgamILC-00431	gnl|WGS:AAAB|AGAP000238-RA
AgamILC-00433	gnl|WGS:AAAB|AGAP000239-RA
AgamILC-00435	gnl|WGS:AAAB|AGAP000240-RA
AgamILC-00436	gnl|WGS:AAAB|AGAP000241-RA
AgamILC-00438	gnl|WGS:AAAB|AGAP000242-RA
AgamILC-00439	gnl|WGS:AAAB|AGAP000243-RB
AgamILC-00441	gnl|WGS:AAAB|AGAP000244-RA
AgamILC-00443	gnl|WGS:AAAB|AGAP000245-RA
AgamILC-00445	gnl|WGS:AAAB|AGAP000246-RA
AgamILC-00446	gnl|WGS:AAAB|AGAP000247-RA
AgamILC-00447	gnl|WGS:AAAB|AGAP000248-RA
AgamILC-00449	gnl|WGS:AAAB|AGAP000249-RA
AgamILC-00451	gnl|WGS:AAAB|AGAP000250-RA
AgamILC-00452	gnl|WGS:AAAB|AGAP000251-RA
AgamILC-00454	gnl|WGS:AAAB|AGAP000252-RA
AgamILC-00455	gnl|WGS:AAAB|AGAP000253-RA
AgamILC-00457	gnl|WGS:AAAB|AGAP013046-RA
AgamILC-00459	gnl|WGS:AAAB|AGAP000254-RA
AgamILC-00461	gnl|WGS:AAAB|AGAP000255-RE
AgamILC-00462	gnl|WGS:AAAB|AGAP013258-RA
AgamILC-00464	gnl|WGS:AAAB|AGAP000256-RA
AgamILC-00466	gnl|WGS:AAAB|AGAP000258-RA
AgamILC-00468	gnl|WGS:AAAB|AGAP000260-RA
AgamILC-00470	gnl|WGS:AAAB|AGAP000261-RA
AgamILC-00472	gnl|WGS:AAAB|AGAP000262-RA
AgamILC-00474	gnl|WGS:AAAB|AGAP000264-RA
AgamILC-00475	gnl|WGS:AAAB|AGAP000266-RA
AgamILC-00476	gnl|WGS:AAAB|AGAP000267-RA
AgamILC-00478	gnl|WGS:AAAB|AGAP000268-RA
AgamILC-00480	gnl|WGS:AAAB|AGAP000269-RA
AgamILC-00482	gnl|WGS:AAAB|AGAP000270-RA
AgamILC-00484	gnl|WGS:AAAB|AGAP000271-RA
AgamILC-00486	gnl|WGS:AAAB|AGAP000272-RA
AgamILC-00488	gnl|WGS:AAAB|AGAP000273-RA
AgamILC-00489	gnl|WGS:AAAB|AGAP000274-RA
AgamILC-00491	gnl|WGS:AAAB|AGAP000275-RA
AgamILC-00492	gnl|WGS:AAAB|AGAP012953-RA
AgamILC-00494	gnl|WGS:AAAB|AGAP000277-RA
AgamILC-00495	gnl|WGS:AAAB|AGAP000278-RA
AgamILC-00496	gnl|WGS:AAAB|AGAP000279-RA
AgamILC-00498	gnl|WGS:AAAB|AGAP000280-RA
AgamILC-00500	gnl|WGS:AAAB|AGAP000281-RA
AgamILC-00502	gnl|WGS:AAAB|AGAP000283-RA
AgamILC-00503	gnl|WGS:AAAB|AGAP000284-RA
AgamILC-00504	gnl|WGS:AAAB|AGAP000285-RA
AgamILC-00505	gnl|WGS:AAAB|AGAP000286-RA
AgamILC-00506	gnl|WGS:AAAB|AGAP000287-RA
AgamILC-00507	gnl|WGS:AAAB|AGAP000288-RA
AgamILC-00508	gnl|WGS:AAAB|AGAP000289-RA
AgamILC-00510	gnl|WGS:AAAB|AGAP000290-RA
AgamILC-00511	gnl|WGS:AAAB|AGAP000291-RA
AgamILC-00513	gnl|WGS:AAAB|AGAP000292-RA
AgamILC-00515	gnl|WGS:AAAB|AGAP000293-RA
AgamILC-00517	gnl|WGS:AAAB|AGAP000294-RA
AgamILC-00519	gnl|WGS:AAAB|AGAP000295-RA
AgamILC-00521	gnl|WGS:AAAB|AGAP000296-RA
AgamILC-00523	gnl|WGS:AAAB|AGAP000297-RA
AgamILC-00525	gnl|WGS:AAAB|AGAP000298-RA
AgamILC-00527	gnl|WGS:AAAB|AGAP000299-RA
AgamILC-00528	gnl|WGS:AAAB|AGAP000300-RA
AgamILC-00529	gnl|WGS:AAAB|AGAP000301-RA
AgamILC-00531	gnl|WGS:AAAB|AGAP000303-RA
AgamILC-00533	gnl|WGS:AAAB|AGAP000304-RA
AgamILC-00535	gnl|WGS:AAAB|AGAP000305-RA
AgamILC-00537	gnl|WGS:AAAB|AGAP000306-RA
AgamILC-00539	gnl|WGS:AAAB|AGAP013049-RA
AgamILC-00541	gnl|WGS:AAAB|AGAP000307-RA
AgamILC-00543	gnl|WGS:AAAB|AGAP000308-RA
AgamILC-00545	gnl|WGS:AAAB|AGAP000309-RA
AgamILC-00547	gnl|WGS:AAAB|AGAP000310-RA
AgamILC-00549	gnl|WGS:AAAB|AGAP000311-RA
AgamILC-00551	gnl|WGS:AAAB|AGAP013392-RA
AgamILC-00553	gnl|WGS:AAAB|AGAP000312-RA
AgamILC-00555	gnl|WGS:AAAB|AGAP000313-RA
AgamILC-00557	gnl|WGS:AAAB|AGAP000314-RB
AgamILC-00559	gnl|WGS:AAAB|AGAP000316-RA
AgamILC-00561	gnl|WGS:AAAB|AGAP000317-RA
AgamILC-00563	gnl|WGS:AAAB|AGAP000319-RA
AgamILC-00565	gnl|WGS:AAAB|AGAP000320-RA
AgamILC-00567	gnl|WGS:AAAB|AGAP000321-RA
AgamILC-00569	gnl|WGS:AAAB|AGAP013441-RA
AgamILC-00571	gnl|WGS:AAAB|AGAP000322-RA
AgamILC-00572	gnl|WGS:AAAB|AGAP000323-RA
AgamILC-00573	gnl|WGS:AAAB|AGAP000324-RA
AgamILC-00575	gnl|WGS:AAAB|AGAP013047-RA
AgamILC-00577	gnl|WGS:AAAB|AGAP000325-RB
AgamILC-00579	gnl|WGS:AAAB|AGAP000326-RA
AgamILC-00581	gnl|WGS:AAAB|AGAP000327-RA
AgamILC-00583	gnl|WGS:AAAB|AGAP000328-RA
AgamILC-00585	gnl|WGS:AAAB|AGAP000329-RA
AgamILC-00587	gnl|WGS:AAAB|AGAP000330-RA
AgamILC-00589	gnl|WGS:AAAB|AGAP000331-RA
AgamILC-00591	gnl|WGS:AAAB|AGAP000332-RA
AgamILC-00593	gnl|WGS:AAAB|AGAP000334-RA
AgamILC-00595	gnl|WGS:AAAB|AGAP000336-RA
AgamILC-00597	gnl|WGS:AAAB|AGAP000337-RA
AgamILC-00599	gnl|WGS:AAAB|AGAP000338-RA
AgamILC-00600	gnl|WGS:AAAB|AGAP000339-RA
AgamILC-00602	gnl|WGS:AAAB|AGAP000340-RA
AgamILC-00604	gnl|WGS:AAAB|AGAP000341-RA
AgamILC-00605	gnl|WGS:AAAB|AGAP000342-RA
AgamILC-00607	gnl|WGS:AAAB|AGAP000343-RA
AgamILC-00609	gnl|WGS:AAAB|AGAP013476-RA
AgamILC-00611	gnl|WGS:AAAB|AGAP000344-RA
AgamILC-00613	gnl|WGS:AAAB|AGAP000345-RA
AgamILC-00615	gnl|WGS:AAAB|AGAP013397-RA
AgamILC-00617	gnl|WGS:AAAB|AGAP000346-RA
AgamILC-00619	gnl|WGS:AAAB|AGAP000347-RA
AgamILC-00621	gnl|WGS:AAAB|AGAP000348-RA
AgamILC-00623	gnl|WGS:AAAB|AGAP000349-RA
AgamILC-00625	gnl|WGS:AAAB|AGAP000351-RB
AgamILC-00626	gnl|WGS:AAAB|AGAP000352-RA
AgamILC-00628	gnl|WGS:AAAB|AGAP000354-RA
AgamILC-00630	gnl|WGS:AAAB|AGAP000355-RA
AgamILC-00632	gnl|WGS:AAAB|AGAP000356-RA
AgamILC-00633	gnl|WGS:AAAB|AGAP000357-RA
AgamILC-00635	gnl|WGS:AAAB|AGAP000358-RA
AgamILC-00637	gnl|WGS:AAAB|AGAP000359-RA
AgamILC-00639	gnl|WGS:AAAB|AGAP000360-RA
AgamILC-00641	gnl|WGS:AAAB|AGAP000361-RA
AgamILC-00643	gnl|WGS:AAAB|AGAP000363-RA
AgamILC-00644	gnl|WGS:AAAB|AGAP000364-RA
AgamILC-00646	gnl|WGS:AAAB|AGAP000365-RA
AgamILC-00648	gnl|WGS:AAAB|AGAP000366-RA
AgamILC-00649	gnl|WGS:AAAB|AGAP000367-RA
AgamILC-00651	gnl|WGS:AAAB|AGAP000368-RA
AgamILC-00652	gnl|WGS:AAAB|AGAP000369-RA
AgamILC-00654	gnl|WGS:AAAB|AGAP000372-RA
AgamILC-00656	gnl|WGS:AAAB|AGAP000374-RA
AgamILC-00658	gnl|WGS:AAAB|AGAP000375-RA
AgamILC-00660	gnl|WGS:AAAB|AGAP000376-RA
AgamILC-00661	gnl|WGS:AAAB|AGAP000377-RA
AgamILC-00663	gnl|WGS:AAAB|AGAP000378-RA
AgamILC-00665	gnl|WGS:AAAB|AGAP000379-RA
AgamILC-00667	gnl|WGS:AAAB|AGAP000380-RA
AgamILC-00669	gnl|WGS:AAAB|AGAP000382-RA
AgamILC-00671	gnl|WGS:AAAB|AGAP013067-RA
AgamILC-00673	gnl|WGS:AAAB|AGAP000383-RA
AgamILC-00675	gnl|WGS:AAAB|AGAP000384-RA
AgamILC-00677	gnl|WGS:AAAB|AGAP000385-RA
AgamILC-00678	gnl|WGS:AAAB|AGAP000386-RA
AgamILC-00680	gnl|WGS:AAAB|AGAP000387-RA
AgamILC-00682	gnl|WGS:AAAB|AGAP000388-RA
AgamILC-00684	gnl|WGS:AAAB|AGAP000389-RA
AgamILC-00686	gnl|WGS:AAAB|AGAP000390-RA
AgamILC-00688	gnl|WGS:AAAB|AGAP000391-RA
AgamILC-00690	gnl|WGS:AAAB|AGAP000392-RA
AgamILC-00692	gnl|WGS:AAAB|AGAP000393-RA
AgamILC-00694	gnl|WGS:AAAB|AGAP000394-RA
AgamILC-00696	gnl|WGS:AAAB|AGAP013009-RA
AgamILC-00698	gnl|WGS:AAAB|AGAP000395-RA
AgamILC-00700	gnl|WGS:AAAB|AGAP000396-RA
AgamILC-00702	gnl|WGS:AAAB|AGAP000397-RA
AgamILC-00703	gnl|WGS:AAAB|AGAP000398-RA
AgamILC-00705	gnl|WGS:AAAB|AGAP000399-RB
AgamILC-00708	gnl|WGS:AAAB|AGAP000400-RA
AgamILC-00709	gnl|WGS:AAAB|AGAP000401-RA
AgamILC-00710	gnl|WGS:AAAB|AGAP000402-RA
AgamILC-00712	gnl|WGS:AAAB|AGAP000403-RA
AgamILC-00714	gnl|WGS:AAAB|AGAP000405-RA
AgamILC-00716	gnl|WGS:AAAB|AGAP000406-RA
AgamILC-00718	gnl|WGS:AAAB|AGAP000407-RA
AgamILC-00720	gnl|WGS:AAAB|AGAP000408-RA
AgamILC-00722	gnl|WGS:AAAB|AGAP000410-RA
AgamILC-00724	gnl|WGS:AAAB|AGAP000411-RA
AgamILC-00726	gnl|WGS:AAAB|AGAP000412-RA
AgamILC-00728	gnl|WGS:AAAB|AGAP000413-RA
AgamILC-00730	gnl|WGS:AAAB|AGAP000414-RA
AgamILC-00731	gnl|WGS:AAAB|AGAP000415-RA
AgamILC-00733	gnl|WGS:AAAB|AGAP000416-RB
AgamILC-00735	gnl|WGS:AAAB|AGAP000419-RA
AgamILC-00737	gnl|WGS:AAAB|AGAP000420-RA
AgamILC-00739	gnl|WGS:AAAB|AGAP000421-RA
AgamILC-00741	gnl|WGS:AAAB|AGAP000422-RA
AgamILC-00743	gnl|WGS:AAAB|AGAP013000-RA
AgamILC-00744	gnl|WGS:AAAB|AGAP000424-RA
AgamILC-00745	gnl|WGS:AAAB|AGAP013129-RA
AgamILC-00746	gnl|WGS:AAAB|AGAP000423-RA
AgamILC-00748	gnl|WGS:AAAB|AGAP000425-RA
AgamILC-00750	gnl|WGS:AAAB|AGAP000426-RA
AgamILC-00752	gnl|WGS:AAAB|AGAP000427-RA
AgamILC-00754	gnl|WGS:AAAB|AGAP000428-RA
AgamILC-00755	gnl|WGS:AAAB|AGAP000429-RA
AgamILC-00757	gnl|WGS:AAAB|AGAP000430-RA
AgamILC-00759	gnl|WGS:AAAB|AGAP000431-RA
AgamILC-00761	gnl|WGS:AAAB|AGAP000432-RA
AgamILC-00763	gnl|WGS:AAAB|AGAP000433-RA
AgamILC-00765	gnl|WGS:AAAB|AGAP000434-RA
AgamILC-00767	gnl|WGS:AAAB|AGAP000436-RA
AgamILC-00769	gnl|WGS:AAAB|AGAP000437-RA
AgamILC-00771	gnl|WGS:AAAB|AGAP013421-RA
AgamILC-00773	gnl|WGS:AAAB|AGAP013175-RA
AgamILC-00775	gnl|WGS:AAAB|AGAP013080-RA
AgamILC-00777	gnl|WGS:AAAB|AGAP013308-RA
AgamILC-00779	gnl|WGS:AAAB|AGAP013319-RA
AgamILC-00781	gnl|WGS:AAAB|AGAP000438-RA
AgamILC-00783	gnl|WGS:AAAB|AGAP000439-RA
AgamILC-00785	gnl|WGS:AAAB|AGAP000440-RA
AgamILC-00787	gnl|WGS:AAAB|AGAP000441-RA
AgamILC-00789	gnl|WGS:AAAB|AGAP000442-RA
AgamILC-00791	gnl|WGS:AAAB|AGAP000443-RA
AgamILC-00793	gnl|WGS:AAAB|AGAP000444-RA
AgamILC-00795	gnl|WGS:AAAB|AGAP000445-RA
AgamILC-00797	gnl|WGS:AAAB|AGAP000446-RA
AgamILC-00799	gnl|WGS:AAAB|AGAP000447-RA
