hiLocus	iLocus	Species	Protein
HILC-11	NvitILC-03498	Nvit	XP_008209443.1
HILC-12	Amh3ILC-12529	Amh3	XP_003250600.1
HILC-12	BterILC-09131	Bter	XP_020721506.1
HILC-12	CfloILC-15680	Cflo	XP_011259212.1
HILC-12	HsalILC-04306	Hsal	XP_011155009.1
HILC-12	PcanILC-12371	Pcan	XP_014612047.1
HILC-12	PdomILC-09603	Pdom	XP_015181843.1
HILC-12	NvitILC-02685	Nvit	XP_016838051.1
HILC-13	Amh3ILC-03375	Amh3	XP_016766650.1
HILC-13	BterILC-01782	Bter	XP_003394286.1
HILC-13	CfloILC-24058	Cflo	XP_011265618.1
HILC-13	HsalILC-08312	Hsal	XP_011137717.1
HILC-13	PcanILC-05991	Pcan	XP_014602809.1
HILC-13	PdomILC-10208	Pdom	XP_015182756.1
HILC-13	NvitILC-03971	Nvit	XP_001601352.1
HILC-14	Amh3ILC-00818	Amh3	XP_624014.2
HILC-14	BterILC-04977	Bter	XP_012165602.1
HILC-14	CfloILC-16684	Cflo	XP_011260005.1
HILC-14	HsalILC-04316	Hsal	XP_011155025.1
HILC-14	PcanILC-04666	Pcan	XP_014600771.1
HILC-14	PdomILC-02891	Pdom	XP_015171583.1
HILC-14	NvitILC-04519	Nvit	XP_016837498.1
HILC-15	Amh3ILC-11084	Amh3	XP_016770475.1
HILC-15	BterILC-04554	Bter	XP_012165129.1
HILC-15	CfloILC-14654	Cflo	XP_011258420.1
HILC-15	HsalILC-20213	Hsal	XP_019699362.1
HILC-15	PcanILC-11897	Pcan	XP_014611460.1
HILC-15	PdomILC-09987	Pdom	XP_015182450.1
HILC-15	NvitILC-21476	Nvit	XP_008212179.1
HILC-16	Amh3ILC-04037	Amh3	XP_026295159.1
HILC-16	BterILC-01951	Bter	XP_012175946.1
HILC-16	CfloILC-14476	Cflo	XP_011258225.1
HILC-16	HsalILC-04622	Hsal	XP_011155251.1
HILC-16	PcanILC-06542	Pcan	XP_014603657.1
HILC-16	PdomILC-14727	Pdom	XP_015189274.1
HILC-16	NvitILC-07638	Nvit	XP_016838844.1
HILC-17	Amh3ILC-05418	Amh3	XP_006564250.2
HILC-17	BterILC-03854	Bter	XP_003395458.1
HILC-17	CfloILC-15332	Cflo	XP_011258896.1
HILC-17	HsalILC-15619	Hsal	XP_011144375.1
HILC-17	PcanILC-13214	Pcan	XP_014613211.1
HILC-17	PdomILC-11753	Pdom	XP_015184988.1
HILC-17	NvitILC-17234	Nvit	XP_008208369.2
HILC-18	Amh3ILC-05133	Amh3	XP_394533.5
HILC-18	BterILC-03494	Bter	XP_020718804.1
HILC-18	CfloILC-01986	Cflo	XP_019884145.1
HILC-18	HsalILC-23390	Hsal	XP_011150976.1
HILC-18	PcanILC-10505	Pcan	XP_014609681.1
HILC-18	PdomILC-03182	Pdom	XP_015171944.1
HILC-18	NvitILC-09193	Nvit	XP_016840818.1
HILC-19	Amh3ILC-05461	Amh3	XP_006564282.1
HILC-19	BterILC-03931	Bter	XP_012163799.1
HILC-19	CfloILC-13547	Cflo	XP_011257560.1
HILC-19	HsalILC-06920	Hsal	XP_011136558.1
HILC-19	PcanILC-10641	Pcan	XP_014609821.1
HILC-19	PdomILC-07183	Pdom	XP_015178080.1
HILC-19	NvitILC-04804	Nvit	XP_008210320.1
HILC-20	Amh3ILC-06056	Amh3	XP_026296541.1
HILC-20	BterILC-03645	Bter	XP_012164116.1
HILC-20	CfloILC-16711	Cflo	XP_011260018.1
HILC-20	HsalILC-09917	Hsal	XP_011139248.1
HILC-20	PcanILC-03254	Pcan	XP_014598260.1
HILC-20	PdomILC-11568	Pdom	XP_015184699.1
HILC-20	NvitILC-03341	Nvit	XP_003424854.1
HILC-21	Amh3ILC-12869	Amh3	XP_006571829.1
HILC-21	BterILC-00916	Bter	XP_020721958.1
HILC-21	CfloILC-11519	Cflo	XP_011255759.1
HILC-21	HsalILC-05439	Hsal	XP_011135439.1
HILC-21	PcanILC-00614	Pcan	XP_014603662.1
HILC-21	PdomILC-13899	Pdom	XP_015188259.1
HILC-21	NvitILC-00586	Nvit	XP_008203086.1
HILC-22	Amh3ILC-09832	Amh3	XP_006567452.1
HILC-22	BterILC-06781	Bter	XP_003397952.1
HILC-22	CfloILC-21840	Cflo	XP_011263735.1
HILC-22	HsalILC-25942	Hsal	XP_011152889.1
HILC-22	PcanILC-09363	Pcan	XP_014607918.1
HILC-22	PdomILC-10850	Pdom	XP_015183732.1
HILC-22	NvitILC-10362	Nvit	NP_001123523.1
HILC-23	Amh3ILC-01896	Amh3	XP_026302130.1
HILC-23	BterILC-00586	Bter	XP_003393281.1
HILC-23	CfloILC-07575	Cflo	XP_011252452.1
HILC-23	HsalILC-03442	Hsal	XP_011154221.1
HILC-23	PcanILC-12612	Pcan	XP_014612411.1
HILC-23	PdomILC-12430	Pdom	XP_015186008.1
HILC-23	NvitILC-13542	Nvit	XP_001599298.1
HILC-24	Amh3ILC-12507	Amh3	XP_026300005.1
HILC-24	BterILC-08942	Bter	XP_012169959.1
HILC-24	CfloILC-06648	Cflo	XP_011251778.1
HILC-24	HsalILC-21953	Hsal	XP_019699859.1
HILC-24	PcanILC-01921	Pcan	XP_014615692.1
HILC-24	PdomILC-08369	Pdom	XP_015179937.1
HILC-24	NvitILC-02254	Nvit	XP_016845546.1
HILC-25	Amh3ILC-11511	Amh3	XP_006566383.2
HILC-25	BterILC-08420	Bter	XP_003398920.1
HILC-25	CfloILC-19910	Cflo	XP_011262362.2
HILC-25	HsalILC-03740	Hsal	XP_011154495.1
HILC-25	PcanILC-04630	Pcan	XP_014600763.1
HILC-25	PdomILC-03019	Pdom	XP_015171669.1
HILC-25	NvitILC-08971	Nvit	XP_001604665.2
HILC-26	Amh3ILC-03115	Amh3	XP_026295474.1
HILC-26	BterILC-02066	Bter	XP_003394415.1
HILC-26	CfloILC-04411	Cflo	XP_011269636.1
HILC-26	HsalILC-05954	Hsal	XP_011135826.1
HILC-26	PcanILC-05013	Pcan	XP_014601368.1
HILC-26	PdomILC-12226	Pdom	XP_015185702.1
HILC-26	NvitILC-04205	Nvit	XP_008212509.1
HILC-27	Amh3ILC-14195	Amh3	XP_026300846.1
HILC-27	BterILC-10091	Bter	XP_020722299.1
HILC-27	CfloILC-27186	Cflo	XP_019885273.1
HILC-27	HsalILC-15276	Hsal	XP_011144120.1
HILC-27	PcanILC-01233	Pcan	XP_014612662.1
HILC-27	PdomILC-04172	Pdom	XP_015173413.1
HILC-27	NvitILC-06774	Nvit	XP_016840014.1
HILC-28	Amh3ILC-12336	Amh3	XP_016771089.2
HILC-28	BterILC-08988	Bter	XP_012170005.1
HILC-28	CfloILC-08198	Cflo	XP_011253056.1
HILC-28	HsalILC-13950	Hsal	XP_019697923.1
HILC-28	PcanILC-00659	Pcan	XP_014603730.1
HILC-28	PdomILC-02816	Pdom	XP_015171227.1
HILC-28	NvitILC-12352	Nvit	XP_016842157.1
HILC-29	Amh3ILC-02377	Amh3	XP_006561239.1
HILC-29	BterILC-00973	Bter	XP_003393748.1
HILC-29	CfloILC-12122	Cflo	XP_011256263.1
HILC-29	HsalILC-22416	Hsal	XP_011150254.1
HILC-29	PcanILC-13286	Pcan	XP_014613281.1
HILC-29	PdomILC-11221	Pdom	XP_015184301.1
HILC-29	NvitILC-06900	Nvit	XP_016839646.1
HILC-30	Amh3ILC-05850	Amh3	XP_392874.5
HILC-30	BterILC-02153	Bter	XP_020724110.1
HILC-30	CfloILC-27120	Cflo	XP_011267732.1
HILC-30	HsalILC-25369	Hsal	XP_019700580.1
HILC-30	PcanILC-11104	Pcan	XP_014610454.1
HILC-30	PdomILC-03555	Pdom	XP_015172597.1
HILC-30	NvitILC-12941	Nvit	XP_016842377.1
HILC-31	Amh3ILC-09030	Amh3	XP_026297946.1
HILC-31	BterILC-06105	Bter	XP_020720187.1
HILC-31	CfloILC-00884	Cflo	XP_019882430.1
HILC-31	HsalILC-03125	Hsal	XP_011153878.1
HILC-31	PcanILC-14924	Pcan	XP_014614823.1
HILC-31	PdomILC-12954	Pdom	XP_015186742.1
HILC-31	NvitILC-04411	Nvit	XP_016837604.1
HILC-32	Amh3ILC-11968	Amh3	XP_395387.5
HILC-32	BterILC-08167	Bter	XP_012169370.1
HILC-32	CfloILC-03605	Cflo	XP_011268925.2
HILC-32	HsalILC-16502	Hsal	XP_011145114.1
HILC-32	PcanILC-04626	Pcan	XP_014600810.1
HILC-32	PdomILC-03025	Pdom	XP_015171546.1
HILC-32	NvitILC-23507	Nvit	XP_016845021.1
HILC-33	Amh3ILC-00124	Amh3	XP_006558646.1
HILC-33	BterILC-05335	Bter	XP_012165983.1
HILC-33	CfloILC-09085	Cflo	XP_011253769.1
HILC-33	HsalILC-10020	Hsal	XP_011139332.1
HILC-33	PcanILC-04905	Pcan	XP_014601199.1
HILC-33	PdomILC-09870	Pdom	XP_015182324.1
HILC-33	NvitILC-13696	Nvit	XP_008202473.1
HILC-34	Amh3ILC-05425	Amh3	XP_026296755.1
HILC-34	BterILC-03850	Bter	XP_020718818.1
HILC-34	CfloILC-05913	Cflo	XP_019882113.1
HILC-34	HsalILC-11056	Hsal	XP_011140327.1
HILC-34	PcanILC-10369	Pcan	XP_014609506.1
HILC-34	PdomILC-07234	Pdom	XP_015178189.1
HILC-34	NvitILC-08764	Nvit	XP_016840641.1
HILC-35	Amh3ILC-04350	Amh3	XP_006560647.1
HILC-35	BterILC-02960	Bter	XP_020718420.1
HILC-35	CfloILC-18672	Cflo	XP_011261401.1
HILC-35	HsalILC-07387	Hsal	XP_011136988.2
HILC-35	PcanILC-13864	Pcan	XP_014614091.1
HILC-35	PdomILC-01414	Pdom	XP_015190075.1
HILC-35	NvitILC-05824	Nvit	XP_016837102.1
HILC-36	Amh3ILC-12459	Amh3	XP_006562323.1
HILC-36	BterILC-08894	Bter	XP_012169928.1
HILC-36	CfloILC-01174	Cflo	XP_011254683.1
HILC-36	HsalILC-26545	Hsal	XP_011153473.1
HILC-36	PcanILC-08119	Pcan	XP_014606070.1
HILC-36	PdomILC-03799	Pdom	XP_015172986.1
HILC-36	NvitILC-04468	Nvit	XP_001607435.2
HILC-37	Amh3ILC-01572	Amh3	XP_006571452.1
HILC-37	BterILC-00181	Bter	XP_003393179.1
HILC-37	CfloILC-26740	Cflo	XP_011267503.1
HILC-37	HsalILC-00976	Hsal	XP_011139066.1
HILC-37	PcanILC-00160	Pcan	XP_014615113.1
HILC-37	PdomILC-05797	Pdom	XP_015176188.1
HILC-37	NvitILC-06931	Nvit	XP_008213771.2
HILC-38	Amh3ILC-06372	Amh3	XP_006561302.1
HILC-38	BterILC-04390	Bter	XP_012164941.1
HILC-38	CfloILC-07198	Cflo	XP_011252123.1
HILC-38	HsalILC-19654	Hsal	XP_011147842.1
HILC-38	PcanILC-03389	Pcan	XP_014598626.1
HILC-38	PdomILC-09768	Pdom	XP_015182178.1
HILC-38	NvitILC-21023	Nvit	XP_016844255.1
HILC-39	Amh3ILC-02380	Amh3	XP_394362.2
HILC-39	BterILC-00970	Bter	XP_003393745.1
HILC-39	CfloILC-04081	Cflo	XP_011269396.1
HILC-39	HsalILC-22518	Hsal	XP_011150374.1
HILC-39	PcanILC-13746	Pcan	XP_014613898.1
HILC-39	PdomILC-14519	Pdom	XP_015188999.1
HILC-39	NvitILC-06901	Nvit	XP_008213584.1
HILC-40	Amh3ILC-06735	Amh3	XP_003250102.3
HILC-40	BterILC-04225	Bter	XP_012164774.1
HILC-40	CfloILC-13137	Cflo	XP_011257205.1
HILC-40	HsalILC-18500	Hsal	XP_011146789.1
HILC-40	PcanILC-10661	Pcan	XP_014609838.1
HILC-40	PdomILC-07204	Pdom	XP_015178205.1
HILC-40	NvitILC-07539	Nvit	XP_008207839.1
HILC-41	Amh3ILC-06063	Amh3	XP_026296386.1
HILC-41	BterILC-03653	Bter	XP_012164109.1
HILC-41	CfloILC-10962	Cflo	XP_011255251.2
HILC-41	HsalILC-02667	Hsal	XP_011152521.1
HILC-41	PcanILC-07333	Pcan	XP_014604933.1
HILC-41	PdomILC-04737	Pdom	XP_015174265.1
HILC-41	NvitILC-11857	Nvit	XP_008212199.1
HILC-42	Amh3ILC-08124	Amh3	XP_003249515.1
HILC-42	BterILC-15022	Bter	XP_012175165.1
HILC-42	CfloILC-05110	Cflo	XP_011250537.1
HILC-42	HsalILC-15144	Hsal	XP_019698234.1
HILC-42	PcanILC-06689	Pcan	XP_014603898.1
HILC-42	PdomILC-08227	Pdom	XP_015179780.1
HILC-42	NvitILC-00250	Nvit	XP_016845680.1
HILC-43	Amh3ILC-12333	Amh3	XP_006561268.2
HILC-43	BterILC-08987	Bter	XP_012170007.1
HILC-43	CfloILC-08199	Cflo	XP_011253058.1
HILC-43	HsalILC-13951	Hsal	XP_019697921.1
HILC-43	PcanILC-00657	Pcan	XP_014603820.1
HILC-43	PdomILC-02818	Pdom	XP_015171224.1
HILC-43	NvitILC-12203	Nvit	XP_008217430.1
HILC-44	Amh3ILC-01213	Amh3	XP_026301900.1
HILC-44	BterILC-00319	Bter	XP_020719098.1
HILC-44	CfloILC-03710	Cflo	XP_011269063.1
HILC-44	HsalILC-23499	Hsal	XP_011151162.1
HILC-44	PcanILC-08471	Pcan	XP_014606545.1
HILC-44	PdomILC-14200	Pdom	XP_015188617.1
HILC-44	NvitILC-00563	Nvit	XP_016845694.1
HILC-45	Amh3ILC-11463	Amh3	XP_026299793.1
HILC-45	BterILC-08377	Bter	XP_020720941.1
HILC-45	CfloILC-01685	Cflo	XP_011258812.1
HILC-45	HsalILC-04688	Hsal	XP_019695739.1
HILC-45	PcanILC-04411	Pcan	XP_014600360.1
HILC-45	PdomILC-00828	Pdom	XP_015175669.1
HILC-45	NvitILC-23211	Nvit	XP_016844970.1
HILC-46	Amh3ILC-01857	Amh3	XP_006571715.1
HILC-46	BterILC-00408	Bter	XP_020719606.1
HILC-46	CfloILC-12544	Cflo	XP_011256825.1
HILC-46	HsalILC-25001	Hsal	XP_011152201.1
HILC-46	PcanILC-04915	Pcan	XP_014601145.1
HILC-46	PdomILC-09878	Pdom	XP_015182340.1
HILC-46	NvitILC-05929	Nvit	XP_016837835.1
HILC-47	Amh3ILC-10413	Amh3	XP_026299270.1
HILC-47	BterILC-07407	Bter	XP_012167974.1
HILC-47	CfloILC-14989	Cflo	XP_019883554.1
HILC-47	HsalILC-17945	Hsal	XP_011146223.1
HILC-47	PcanILC-03327	Pcan	XP_014598535.1
HILC-47	PdomILC-00959	Pdom	XP_015183018.1
HILC-47	NvitILC-02744	Nvit	XP_008216064.2
HILC-48	Amh3ILC-01424	Amh3	XP_026298382.1
HILC-48	BterILC-00462	Bter	XP_020719509.1
HILC-48	CfloILC-09497	Cflo	XP_011254023.1
HILC-48	HsalILC-23464	Hsal	XP_011151091.1
HILC-48	PcanILC-13858	Pcan	XP_014614089.1
HILC-48	PdomILC-01848	Pdom	XP_015190817.1
HILC-48	NvitILC-00267	Nvit	XP_008202823.1
HILC-49	Amh3ILC-11638	Amh3	XP_016770258.1
HILC-49	BterILC-08640	Bter	XP_003399343.1
HILC-49	CfloILC-02299	Cflo	XP_019884641.1
HILC-49	HsalILC-25736	Hsal	XP_011152769.1
HILC-49	PcanILC-03972	Pcan	XP_014599807.1
HILC-49	PdomILC-04515	Pdom	XP_015174054.1
HILC-49	NvitILC-10130	Nvit	XP_016841106.1
HILC-50	Amh3ILC-00185	Amh3	XP_623111.3
HILC-50	BterILC-13189	Bter	XP_012174189.1
HILC-50	CfloILC-25079	Cflo	XP_011266349.1
HILC-50	HsalILC-16883	Hsal	XP_011145403.1
HILC-50	PcanILC-07514	Pcan	XP_014605148.1
HILC-50	PdomILC-10069	Pdom	XP_015182621.1
HILC-50	NvitILC-23311	Nvit	XP_001607995.1
HILC-51	Amh3ILC-07504	Amh3	XP_026297470.1
HILC-51	BterILC-05720	Bter	XP_012166354.1
HILC-51	CfloILC-07960	Cflo	XP_019882481.1
HILC-51	HsalILC-06234	Hsal	XP_011136083.1
HILC-51	PcanILC-09028	Pcan	XP_014607478.1
HILC-51	PdomILC-01353	Pdom	XP_015188303.1
HILC-51	NvitILC-00842	Nvit	XP_003424996.1
HILC-52	Amh3ILC-02942	Amh3	XP_026295004.1
HILC-52	BterILC-13753	Bter	XP_012174349.1
HILC-52	CfloILC-11979	Cflo	XP_019883042.1
HILC-52	HsalILC-22491	Hsal	XP_019700004.1
HILC-52	PcanILC-01508	Pcan	XP_014614680.1
HILC-52	PdomILC-13173	Pdom	XP_015187138.1
HILC-52	NvitILC-06747	Nvit	XP_016839611.1
HILC-53	Amh3ILC-08997	Amh3	XP_026298028.1
HILC-53	BterILC-12397	Bter	XP_003402001.1
HILC-53	CfloILC-05781	Cflo	XP_019882079.1
HILC-53	HsalILC-03416	Hsal	XP_011154181.1
HILC-53	PcanILC-00095	Pcan	XP_014615532.1
HILC-53	PdomILC-05862	Pdom	XP_015176216.1
HILC-53	NvitILC-08337	Nvit	XP_001603043.2
HILC-54	Amh3ILC-10082	Amh3	XP_006560884.2
HILC-54	BterILC-07359	Bter	XP_020720825.1
HILC-54	CfloILC-21847	Cflo	XP_011263748.1
HILC-54	HsalILC-09310	Hsal	XP_011138725.1
HILC-54	PcanILC-13105	Pcan	XP_014613055.1
HILC-54	PdomILC-00258	Pdom	XP_015171901.1
HILC-54	NvitILC-02606	Nvit	XP_016845676.1
HILC-55	Amh3ILC-04408	Amh3	XP_026295878.1
HILC-55	BterILC-08783	Bter	XP_003399307.1
HILC-55	CfloILC-14154	Cflo	XP_011257993.1
HILC-55	HsalILC-16775	Hsal	XP_011145324.1
HILC-55	PcanILC-02165	Pcan	XP_014616218.1
HILC-55	PdomILC-00561	Pdom	XP_015176322.1
HILC-55	NvitILC-04020	Nvit	XP_016838272.1
HILC-56	Amh3ILC-10859	Amh3	XP_026299738.1
HILC-56	BterILC-05473	Bter	XP_012166106.1
HILC-56	CfloILC-18280	Cflo	XP_011261142.1
HILC-56	HsalILC-13285	Hsal	XP_011142346.1
HILC-56	PcanILC-05241	Pcan	XP_014601708.1
HILC-56	PdomILC-05385	Pdom	XP_015175495.1
HILC-56	NvitILC-01133	Nvit	XP_016844366.1
HILC-57	Amh3ILC-14662	Amh3	XP_006561081.1
HILC-57	BterILC-11670	Bter	XP_020722692.1
HILC-57	CfloILC-05425	Cflo	XP_011250771.1
HILC-57	HsalILC-05866	Hsal	XP_019695983.1
HILC-57	PcanILC-07008	Pcan	XP_014604460.1
HILC-57	PdomILC-08000	Pdom	XP_015179391.1
HILC-57	NvitILC-13370	Nvit	XP_003425367.1
HILC-58	Amh3ILC-05041	Amh3	XP_396132.4
HILC-58	BterILC-03350	Bter	XP_020718660.1
HILC-58	CfloILC-08399	Cflo	XP_011253201.1
HILC-58	HsalILC-02000	Hsal	XP_011146295.1
HILC-58	PcanILC-00696	Pcan	XP_014603304.1
HILC-58	PdomILC-02777	Pdom	XP_015171142.1
HILC-58	NvitILC-02785	Nvit	XP_008215529.1
HILC-59	Amh3ILC-10563	Amh3	XP_016769783.2
HILC-59	BterILC-07057	Bter	XP_012168322.1
HILC-59	CfloILC-12497	Cflo	XP_011256758.1
HILC-59	HsalILC-23234	Hsal	XP_011150845.1
HILC-59	PcanILC-00813	Pcan	XP_014605472.1
HILC-59	PdomILC-07783	Pdom	XP_015179238.1
HILC-59	NvitILC-10630	Nvit	XP_016841361.1
HILC-60	Amh3ILC-08157	Amh3	XP_026298337.1
HILC-60	BterILC-14828	Bter	XP_020723752.1
HILC-60	CfloILC-12797	Cflo	XP_019883216.1
HILC-60	HsalILC-09785	Hsal	XP_019696904.1
HILC-60	PcanILC-13389	Pcan	XP_014613443.1
HILC-60	PdomILC-08840	Pdom	XP_015180840.1
HILC-60	NvitILC-02822	Nvit	XP_016836768.1
HILC-61	Amh3ILC-04075	Amh3	XP_026295485.1
HILC-61	BterILC-14236	Bter	XP_012174613.1
HILC-61	CfloILC-12189	Cflo	XP_019883114.1
HILC-61	HsalILC-04864	Hsal	XP_019695779.1
HILC-61	PcanILC-03185	Pcan	XP_014598305.1
HILC-61	PdomILC-05838	Pdom	XP_015176042.1
HILC-61	NvitILC-10106	Nvit	XP_016841433.1
HILC-62	Amh3ILC-14931	Amh3	XP_006563613.1
HILC-62	BterILC-11030	Bter	XP_012172164.1
HILC-62	CfloILC-17692	Cflo	XP_019883943.1
HILC-62	HsalILC-21479	Hsal	XP_011149404.1
HILC-62	PcanILC-05292	Pcan	XP_014601724.1
HILC-62	PdomILC-03248	Pdom	XP_015171998.1
HILC-62	NvitILC-18228	Nvit	XP_001603649.2
HILC-63	Amh3ILC-03606	Amh3	XP_016766757.2
HILC-63	BterILC-01844	Bter	XP_012176073.1
HILC-63	CfloILC-09851	Cflo	XP_011254352.1
HILC-63	HsalILC-03528	Hsal	XP_019701074.1
HILC-63	PcanILC-03639	Pcan	XP_014598994.1
HILC-63	PdomILC-03299	Pdom	XP_015171834.1
HILC-63	NvitILC-03939	Nvit	XP_003426811.1
HILC-64	Amh3ILC-14088	Amh3	XP_001122444.2
HILC-64	BterILC-10308	Bter	XP_012171430.1
HILC-64	CfloILC-07700	Cflo	XP_011252617.1
HILC-64	HsalILC-22164	Hsal	XP_019699921.1
HILC-64	PcanILC-02813	Pcan	XP_014597754.1
HILC-64	PdomILC-10454	Pdom	XP_015183040.1
HILC-64	NvitILC-03928	Nvit	XP_008207953.1
HILC-65	Amh3ILC-01759	Amh3	XP_016769039.2
HILC-65	BterILC-00100	Bter	XP_012166738.1
HILC-65	CfloILC-08470	Cflo	XP_019882555.1
HILC-65	HsalILC-03156	Hsal	XP_019700985.1
HILC-65	PcanILC-12621	Pcan	XP_014612440.1
HILC-65	PdomILC-14671	Pdom	XP_015189190.1
HILC-65	NvitILC-11138	Nvit	XP_016841803.1
HILC-66	Amh3ILC-10334	Amh3	XP_395082.4
HILC-66	BterILC-07536	Bter	XP_012167833.1
HILC-66	CfloILC-09011	Cflo	XP_011253692.1
HILC-66	HsalILC-15628	Hsal	XP_011144390.1
HILC-66	PcanILC-08435	Pcan	XP_014606533.1
HILC-66	PdomILC-02651	Pdom	XP_015171245.1
HILC-66	NvitILC-02649	Nvit	XP_008215391.1
HILC-67	Amh3ILC-14102	Amh3	XP_016771690.2
HILC-67	BterILC-10197	Bter	XP_012171284.1
HILC-67	CfloILC-22376	Cflo	XP_011264215.1
HILC-67	HsalILC-14156	Hsal	XP_019697983.1
HILC-67	PcanILC-03507	Pcan	XP_014598880.1
HILC-67	PdomILC-03508	Pdom	XP_015172427.1
HILC-67	NvitILC-23164	Nvit	XP_008216945.1
HILC-68	Amh3ILC-15450	Amh3	XP_026301495.1
HILC-68	BterILC-12566	Bter	XP_003402146.1
HILC-68	CfloILC-14587	Cflo	XP_011258355.1
HILC-68	HsalILC-05016	Hsal	XP_011135148.1
HILC-68	PcanILC-00100	Pcan	XP_014611360.1
HILC-68	PdomILC-05872	Pdom	XP_015176074.1
HILC-68	NvitILC-01170	Nvit	XP_016840930.1
HILC-69	Amh3ILC-02279	Amh3	XP_026294804.1
HILC-69	BterILC-00962	Bter	XP_012169778.1
HILC-69	CfloILC-16395	Cflo	XP_011259867.1
HILC-69	HsalILC-18346	Hsal	XP_011146589.2
HILC-69	PcanILC-13238	Pcan	XP_014613232.1
