hiLocus	iLocus	Species	Protein
HILC-14	NvitILC-04804	Nvit	XP_008210320.1
HILC-15	Amh3ILC-06056	Amh3	XP_026296541.1
HILC-15	BterILC-03645	Bter	XP_012164116.1
HILC-15	CfloILC-16711	Cflo	XP_011260018.1
HILC-15	HsalILC-09917	Hsal	XP_011139248.1
HILC-15	PcanILC-03254	Pcan	XP_014598260.1
HILC-15	PdtlILC-14036	Pdtl	PdomMRNAr1.2-07680.1
HILC-15	NvitILC-03341	Nvit	XP_003424854.1
HILC-16	Amh3ILC-09832	Amh3	XP_006567452.1
HILC-16	BterILC-06781	Bter	XP_003397952.1
HILC-16	CfloILC-21840	Cflo	XP_011263735.1
HILC-16	HsalILC-25942	Hsal	XP_011152889.1
HILC-16	PcanILC-09363	Pcan	XP_014607918.1
HILC-16	PdtlILC-13176	Pdtl	PdomMRNAr1.2-08303.1
HILC-16	NvitILC-10362	Nvit	NP_001123523.1
HILC-17	Amh3ILC-01896	Amh3	XP_026302130.1
HILC-17	BterILC-00586	Bter	XP_003393281.1
HILC-17	CfloILC-07575	Cflo	XP_011252452.1
HILC-17	HsalILC-03442	Hsal	XP_011154221.1
HILC-17	PcanILC-12612	Pcan	XP_014612411.1
HILC-17	PdtlILC-15110	Pdtl	PdomMRNAr1.2-02990.1
HILC-17	NvitILC-13542	Nvit	XP_001599298.1
HILC-18	Amh3ILC-11511	Amh3	XP_006566383.2
HILC-18	BterILC-08420	Bter	XP_003398920.1
HILC-18	CfloILC-19910	Cflo	XP_011262362.2
HILC-18	HsalILC-03740	Hsal	XP_011154495.1
HILC-18	PcanILC-04630	Pcan	XP_014600763.1
HILC-18	PdtlILC-03840	Pdtl	PdomMRNAr1.2-08803.1
HILC-18	NvitILC-08971	Nvit	XP_001604665.2
HILC-19	Amh3ILC-03115	Amh3	XP_026295474.1
HILC-19	BterILC-02066	Bter	XP_003394415.1
HILC-19	CfloILC-04411	Cflo	XP_011269636.1
HILC-19	HsalILC-05954	Hsal	XP_011135826.1
HILC-19	PcanILC-05013	Pcan	XP_014601368.1
HILC-19	PdtlILC-14888	Pdtl	PdomMRNAr1.2-06563.1
HILC-19	NvitILC-04205	Nvit	XP_008212509.1
HILC-20	Amh3ILC-14195	Amh3	XP_026300846.1
HILC-20	BterILC-10091	Bter	XP_020722299.1
HILC-20	CfloILC-27186	Cflo	XP_019885273.1
HILC-20	HsalILC-15276	Hsal	XP_011144120.1
HILC-20	PcanILC-01233	Pcan	XP_014612662.1
HILC-20	PdtlILC-05336	Pdtl	PdomMRNAr1.2-10528.1
HILC-20	NvitILC-06774	Nvit	XP_016840014.1
HILC-21	Amh3ILC-12336	Amh3	XP_016771089.2
HILC-21	BterILC-08988	Bter	XP_012170005.1
HILC-21	CfloILC-08198	Cflo	XP_011253056.1
HILC-21	HsalILC-13950	Hsal	XP_019697923.1
HILC-21	PcanILC-00659	Pcan	XP_014603730.1
HILC-21	PdtlILC-03575	Pdtl	PdomMRNAr1.2-06226.1
HILC-21	NvitILC-12352	Nvit	XP_016842157.1
HILC-22	Amh3ILC-09030	Amh3	XP_026297946.1
HILC-22	BterILC-06105	Bter	XP_020720187.1
HILC-22	CfloILC-00884	Cflo	XP_019882430.1
HILC-22	HsalILC-03125	Hsal	XP_011153878.1
HILC-22	PcanILC-14924	Pcan	XP_014614823.1
HILC-22	PdtlILC-15789	Pdtl	PdomMRNAr1.2-11176.1
HILC-22	NvitILC-04411	Nvit	XP_016837604.1
HILC-23	Amh3ILC-11968	Amh3	XP_395387.5
HILC-23	BterILC-08167	Bter	XP_012169370.1
HILC-23	CfloILC-03605	Cflo	XP_011268925.2
HILC-23	HsalILC-16502	Hsal	XP_011145114.1
HILC-23	PcanILC-04626	Pcan	XP_014600810.1
HILC-23	PdtlILC-03848	Pdtl	PdomMRNAr1.2-02918.1
HILC-23	NvitILC-23507	Nvit	XP_016845021.1
HILC-24	Amh3ILC-00124	Amh3	XP_006558646.1
HILC-24	BterILC-05335	Bter	XP_012165983.1
HILC-24	CfloILC-09085	Cflo	XP_011253769.1
HILC-24	HsalILC-10020	Hsal	XP_011139332.1
HILC-24	PcanILC-04905	Pcan	XP_014601199.1
HILC-24	PdtlILC-12034	Pdtl	PdomMRNAr1.2-02037.1
HILC-24	NvitILC-13696	Nvit	XP_008202473.1
HILC-25	Amh3ILC-04350	Amh3	XP_006560647.1
HILC-25	BterILC-02960	Bter	XP_020718420.1
HILC-25	CfloILC-18672	Cflo	XP_011261401.1
HILC-25	HsalILC-07387	Hsal	XP_011136988.2
HILC-25	PcanILC-13864	Pcan	XP_014614091.1
HILC-25	PdtlILC-01756	Pdtl	PdomMRNAr1.2-02290.1
HILC-25	NvitILC-05824	Nvit	XP_016837102.1
HILC-26	Amh3ILC-12459	Amh3	XP_006562323.1
HILC-26	BterILC-08894	Bter	XP_012169928.1
HILC-26	CfloILC-01174	Cflo	XP_011254683.1
HILC-26	HsalILC-26545	Hsal	XP_011153473.1
HILC-26	PcanILC-08119	Pcan	XP_014606070.1
HILC-26	PdtlILC-04850	Pdtl	PdomMRNAr1.2-02774.1
HILC-26	NvitILC-04468	Nvit	XP_001607435.2
HILC-27	Amh3ILC-01572	Amh3	XP_006571452.1
HILC-27	BterILC-00181	Bter	XP_003393179.1
HILC-27	CfloILC-26740	Cflo	XP_011267503.1
HILC-27	HsalILC-00976	Hsal	XP_011139066.1
HILC-27	PcanILC-00160	Pcan	XP_014615113.1
HILC-27	PdtlILC-07278	Pdtl	PdomMRNAr1.2-10704.1
HILC-27	NvitILC-06931	Nvit	XP_008213771.2
HILC-28	Amh3ILC-06372	Amh3	XP_006561302.1
HILC-28	BterILC-04390	Bter	XP_012164941.1
HILC-28	CfloILC-07198	Cflo	XP_011252123.1
HILC-28	HsalILC-19654	Hsal	XP_011147842.1
HILC-28	PcanILC-03389	Pcan	XP_014598626.1
HILC-28	PdtlILC-11913	Pdtl	PdomMRNAr1.2-03074.1
HILC-28	NvitILC-21023	Nvit	XP_016844255.1
HILC-29	Amh3ILC-02380	Amh3	XP_394362.2
HILC-29	BterILC-00970	Bter	XP_003393745.1
HILC-29	CfloILC-04081	Cflo	XP_011269396.1
HILC-29	HsalILC-22518	Hsal	XP_011150374.1
HILC-29	PcanILC-13746	Pcan	XP_014613898.1
HILC-29	PdtlILC-17629	Pdtl	PdomMRNAr1.2-08708.1
HILC-29	NvitILC-06901	Nvit	XP_008213584.1
HILC-30	Amh3ILC-06735	Amh3	XP_003250102.3
HILC-30	BterILC-04225	Bter	XP_012164774.1
HILC-30	CfloILC-13137	Cflo	XP_011257205.1
HILC-30	HsalILC-18500	Hsal	XP_011146789.1
HILC-30	PcanILC-10661	Pcan	XP_014609838.1
HILC-30	PdtlILC-08921	Pdtl	PdomMRNAr1.2-08933.1
HILC-30	NvitILC-07539	Nvit	XP_008207839.1
HILC-31	Amh3ILC-08124	Amh3	XP_003249515.1
HILC-31	BterILC-15022	Bter	XP_012175165.1
HILC-31	CfloILC-05110	Cflo	XP_011250537.1
HILC-31	HsalILC-15144	Hsal	XP_019698234.1
HILC-31	PcanILC-06689	Pcan	XP_014603898.1
HILC-31	PdtlILC-10101	Pdtl	PdomMRNAr1.2-10161.1
HILC-31	NvitILC-00250	Nvit	XP_016845680.1
HILC-32	Amh3ILC-11463	Amh3	XP_026299793.1
HILC-32	BterILC-08377	Bter	XP_020720941.1
HILC-32	CfloILC-01685	Cflo	XP_011258812.1
HILC-32	HsalILC-04688	Hsal	XP_019695739.1
HILC-32	PcanILC-04411	Pcan	XP_014600360.1
HILC-32	PdtlILC-00997	Pdtl	PdomMRNAr1.2-08940.1
HILC-32	NvitILC-23211	Nvit	XP_016844970.1
HILC-33	Amh3ILC-01857	Amh3	XP_006571715.1
HILC-33	BterILC-00408	Bter	XP_020719606.1
HILC-33	CfloILC-12544	Cflo	XP_011256825.1
HILC-33	HsalILC-25001	Hsal	XP_011152201.1
HILC-33	PcanILC-04915	Pcan	XP_014601145.1
HILC-33	PdtlILC-12044	Pdtl	PdomMRNAr1.2-11160.1
HILC-33	NvitILC-05929	Nvit	XP_016837835.1
HILC-34	Amh3ILC-10413	Amh3	XP_026299270.1
HILC-34	BterILC-07407	Bter	XP_012167974.1
HILC-34	CfloILC-14989	Cflo	XP_019883554.1
HILC-34	HsalILC-17945	Hsal	XP_011146223.1
HILC-34	PcanILC-03327	Pcan	XP_014598535.1
HILC-34	PdtlILC-01188	Pdtl	PdomMRNAr1.2-02852.1
HILC-34	NvitILC-02744	Nvit	XP_008216064.2
HILC-35	Amh3ILC-00185	Amh3	XP_623111.3
HILC-35	BterILC-13189	Bter	XP_012174189.1
HILC-35	CfloILC-25079	Cflo	XP_011266349.1
HILC-35	HsalILC-16883	Hsal	XP_011145403.1
HILC-35	PcanILC-07514	Pcan	XP_014605148.1
HILC-35	PdtlILC-12267	Pdtl	PdomMRNAr1.2-09656.1
HILC-35	NvitILC-23311	Nvit	XP_001607995.1
HILC-36	Amh3ILC-11638	Amh3	XP_016770258.1
HILC-36	BterILC-08640	Bter	XP_003399343.1
HILC-36	CfloILC-02299	Cflo	XP_019884641.1
HILC-36	HsalILC-25736	Hsal	XP_011152769.1
HILC-36	PcanILC-03972	Pcan	XP_014599807.1
HILC-36	PdtlILC-05719	Pdtl	PdomMRNAr1.2-00795.1
HILC-36	NvitILC-10130	Nvit	XP_016841106.1
HILC-37	Amh3ILC-07504	Amh3	XP_026297470.1
HILC-37	BterILC-05720	Bter	XP_012166354.1
HILC-37	CfloILC-07960	Cflo	XP_019882481.1
HILC-37	HsalILC-06234	Hsal	XP_011136083.1
HILC-37	PcanILC-09028	Pcan	XP_014607478.1
HILC-37	PdtlILC-01681	Pdtl	PdomMRNAr1.2-06077.1
HILC-37	NvitILC-00842	Nvit	XP_003424996.1
HILC-38	Amh3ILC-08997	Amh3	XP_026298028.1
HILC-38	BterILC-12397	Bter	XP_003402001.1
HILC-38	CfloILC-05781	Cflo	XP_019882079.1
HILC-38	HsalILC-03416	Hsal	XP_011154181.1
HILC-38	PcanILC-00095	Pcan	XP_014615532.1
HILC-38	PdtlILC-07342	Pdtl	PdomMRNAr1.2-05629.1
HILC-38	NvitILC-08337	Nvit	XP_001603043.2
HILC-39	Amh3ILC-10082	Amh3	XP_006560884.2
HILC-39	BterILC-07359	Bter	XP_020720825.1
HILC-39	CfloILC-21847	Cflo	XP_011263748.1
HILC-39	HsalILC-09310	Hsal	XP_011138725.1
HILC-39	PcanILC-13105	Pcan	XP_014613055.1
HILC-39	PdtlILC-00326	Pdtl	PdomMRNAr1.2-02362.1
HILC-39	NvitILC-02606	Nvit	XP_016845676.1
HILC-40	Amh3ILC-10859	Amh3	XP_026299738.1
HILC-40	BterILC-05473	Bter	XP_012166106.1
HILC-40	CfloILC-18280	Cflo	XP_011261142.1
HILC-40	HsalILC-13285	Hsal	XP_011142346.1
HILC-40	PcanILC-05241	Pcan	XP_014601708.1
HILC-40	PdtlILC-06734	Pdtl	PdomMRNAr1.2-11617.1
HILC-40	NvitILC-01133	Nvit	XP_016844366.1
HILC-41	Amh3ILC-04408	Amh3	XP_026295878.1
HILC-41	BterILC-08783	Bter	XP_003399307.1
HILC-41	CfloILC-14154	Cflo	XP_011257993.1
HILC-41	HsalILC-16775	Hsal	XP_011145324.1
HILC-41	PcanILC-02165	Pcan	XP_014616218.1
HILC-41	PdtlILC-00669	Pdtl	PdomMRNAr1.2-11765.1
HILC-41	NvitILC-04020	Nvit	XP_016838272.1
HILC-42	Amh3ILC-14662	Amh3	XP_006561081.1
HILC-42	BterILC-11670	Bter	XP_020722692.1
HILC-42	CfloILC-05425	Cflo	XP_011250771.1
HILC-42	HsalILC-05866	Hsal	XP_019695983.1
HILC-42	PcanILC-07008	Pcan	XP_014604460.1
HILC-42	PdtlILC-09843	Pdtl	PdomMRNAr1.2-10023.1
HILC-42	NvitILC-13370	Nvit	XP_003425367.1
HILC-43	Amh3ILC-10563	Amh3	XP_016769783.2
HILC-43	BterILC-07057	Bter	XP_012168322.1
HILC-43	CfloILC-12497	Cflo	XP_011256758.1
HILC-43	HsalILC-23234	Hsal	XP_011150845.1
HILC-43	PcanILC-00813	Pcan	XP_014605472.1
HILC-43	PdtlILC-09607	Pdtl	PdomMRNAr1.2-05949.1
HILC-43	NvitILC-10630	Nvit	XP_016841361.1
HILC-44	Amh3ILC-04075	Amh3	XP_026295485.1
HILC-44	BterILC-14236	Bter	XP_012174613.1
HILC-44	CfloILC-12189	Cflo	XP_019883114.1
HILC-44	HsalILC-04864	Hsal	XP_019695779.1
HILC-44	PcanILC-03185	Pcan	XP_014598305.1
HILC-44	PdtlILC-07318	Pdtl	PdomMRNAr1.2-06727.1
HILC-44	NvitILC-10106	Nvit	XP_016841433.1
HILC-45	Amh3ILC-14931	Amh3	XP_006563613.1
HILC-45	BterILC-11030	Bter	XP_012172164.1
HILC-45	CfloILC-17692	Cflo	XP_019883943.1
HILC-45	HsalILC-21479	Hsal	XP_011149404.1
HILC-45	PcanILC-05292	Pcan	XP_014601724.1
HILC-45	PdtlILC-04112	Pdtl	PdomMRNAr1.2-02465.1
HILC-45	NvitILC-18228	Nvit	XP_001603649.2
HILC-46	Amh3ILC-03606	Amh3	XP_016766757.2
HILC-46	BterILC-01844	Bter	XP_012176073.1
HILC-46	CfloILC-09851	Cflo	XP_011254352.1
HILC-46	HsalILC-03528	Hsal	XP_019701074.1
HILC-46	PcanILC-03639	Pcan	XP_014598994.1
HILC-46	PdtlILC-04176	Pdtl	PdomMRNAr1.2-07110.1
HILC-46	NvitILC-03939	Nvit	XP_003426811.1
HILC-47	Amh3ILC-14088	Amh3	XP_001122444.2
HILC-47	BterILC-10308	Bter	XP_012171430.1
HILC-47	CfloILC-07700	Cflo	XP_011252617.1
HILC-47	HsalILC-22164	Hsal	XP_019699921.1
HILC-47	PcanILC-02813	Pcan	XP_014597754.1
HILC-47	PdtlILC-12711	Pdtl	PdomMRNAr1.2-05952.1
HILC-47	NvitILC-03928	Nvit	XP_008207953.1
HILC-48	Amh3ILC-01759	Amh3	XP_016769039.2
HILC-48	BterILC-00100	Bter	XP_012166738.1
HILC-48	CfloILC-08470	Cflo	XP_019882555.1
HILC-48	HsalILC-03156	Hsal	XP_019700985.1
HILC-48	PcanILC-12621	Pcan	XP_014612440.1
HILC-48	PdtlILC-17799	Pdtl	PdomMRNAr1.2-02817.1
HILC-48	NvitILC-11138	Nvit	XP_016841803.1
HILC-49	Amh3ILC-10334	Amh3	XP_395082.4
HILC-49	BterILC-07536	Bter	XP_012167833.1
HILC-49	CfloILC-09011	Cflo	XP_011253692.1
HILC-49	HsalILC-15628	Hsal	XP_011144390.1
HILC-49	PcanILC-08435	Pcan	XP_014606533.1
HILC-49	PdtlILC-03368	Pdtl	PdomMRNAr1.2-03705.1
HILC-49	NvitILC-02649	Nvit	XP_008215391.1
HILC-50	Amh3ILC-15450	Amh3	XP_026301495.1
HILC-50	BterILC-12566	Bter	XP_003402146.1
HILC-50	CfloILC-14587	Cflo	XP_011258355.1
HILC-50	HsalILC-05016	Hsal	XP_011135148.1
HILC-50	PcanILC-00100	Pcan	XP_014611360.1
HILC-50	PdtlILC-07351	Pdtl	PdomMRNAr1.2-06061.1
HILC-50	NvitILC-01170	Nvit	XP_016840930.1
HILC-51	Amh3ILC-02279	Amh3	XP_026294804.1
HILC-51	BterILC-00962	Bter	XP_012169778.1
HILC-51	CfloILC-16395	Cflo	XP_011259867.1
HILC-51	HsalILC-18346	Hsal	XP_011146589.2
HILC-51	PcanILC-13238	Pcan	XP_014613232.1
HILC-51	PdtlILC-00182	Pdtl	PdomMRNAr1.2-07388.1
HILC-51	NvitILC-13421	Nvit	XP_003425376.1
HILC-52	Amh3ILC-12321	Amh3	XP_392624.5
HILC-52	BterILC-09217	Bter	XP_003399814.1
HILC-52	CfloILC-22078	Cflo	XP_011263903.1
HILC-52	HsalILC-15636	Hsal	XP_011144404.1
HILC-52	PcanILC-11335	Pcan	XP_014610710.1
HILC-52	PdtlILC-14398	Pdtl	PdomMRNAr1.2-03881.1
HILC-52	NvitILC-02401	Nvit	XP_001603698.1
HILC-53	Amh3ILC-05312	Amh3	XP_006562211.1
HILC-53	BterILC-03789	Bter	XP_003395472.1
HILC-53	CfloILC-07851	Cflo	XP_011252754.1
HILC-53	HsalILC-13927	Hsal	XP_011142882.1
HILC-53	PcanILC-13310	Pcan	XP_014613332.1
HILC-53	PdtlILC-16778	Pdtl	PdomMRNAr1.2-02113.1
HILC-53	NvitILC-08791	Nvit	XP_008211259.1
HILC-54	Amh3ILC-00188	Amh3	XP_006559910.2
HILC-54	BterILC-13192	Bter	XP_012174192.1
HILC-54	CfloILC-09836	Cflo	XP_011254331.1
HILC-54	HsalILC-07649	Hsal	XP_011137183.1
HILC-54	PcanILC-08553	Pcan	XP_014606704.1
HILC-54	PdtlILC-03135	Pdtl	PdomMRNAr1.2-08296.1
HILC-54	NvitILC-07500	Nvit	XP_016839341.1
HILC-55	Amh3ILC-15577	Amh3	XP_016772511.2
HILC-55	BterILC-09450	Bter	XP_003399657.1
HILC-55	CfloILC-18618	Cflo	XP_011261366.1
HILC-55	HsalILC-16368	Hsal	XP_011144992.1
HILC-55	PcanILC-07773	Pcan	XP_014605593.1
HILC-55	PdtlILC-01833	Pdtl	PdomMRNAr1.2-08538.1
HILC-55	NvitILC-03595	Nvit	XP_003427104.1
HILC-56	Amh3ILC-01389	Amh3	XP_026301929.1
HILC-56	BterILC-00170	Bter	XP_012175751.1
HILC-56	CfloILC-14758	Cflo	XP_011258512.1
HILC-56	HsalILC-18845	Hsal	XP_011147075.1
HILC-56	PcanILC-14272	Pcan	XP_014614493.1
HILC-56	PdtlILC-18097	Pdtl	PdomMRNAr1.2-02629.1
HILC-56	NvitILC-08833	Nvit	XP_001601828.2
HILC-57	Amh3ILC-03070	Amh3	XP_016766319.1
HILC-57	BterILC-01137	Bter	XP_020723143.1
HILC-57	CfloILC-14704	Cflo	XP_011258471.1
HILC-57	HsalILC-22127	Hsal	XP_019699910.1
HILC-57	PcanILC-10743	Pcan	XP_014609958.1
HILC-57	PdtlILC-09248	Pdtl	PdomMRNAr1.2-09748.1
HILC-57	NvitILC-00146	Nvit	XP_001604604.4
HILC-58	Amh3ILC-08567	Amh3	XP_006564575.1
HILC-58	BterILC-11854	Bter	XP_003401715.1
HILC-58	CfloILC-08396	Cflo	XP_011253195.1
HILC-58	HsalILC-21310	Hsal	XP_019699657.1
HILC-58	PcanILC-08619	Pcan	XP_014606803.1
HILC-58	PdtlILC-10335	Pdtl	PdomMRNAr1.2-03438.1
HILC-58	NvitILC-02881	Nvit	XP_016836886.1
HILC-59	Amh3ILC-03685	Amh3	XP_026295162.1
HILC-59	BterILC-02321	Bter	XP_003394619.1
HILC-59	CfloILC-12227	Cflo	XP_011256453.1
HILC-59	HsalILC-11210	Hsal	XP_011140478.1
HILC-59	PcanILC-01438	Pcan	XP_014614981.1
HILC-59	PdtlILC-02733	Pdtl	PdomMRNAr1.2-07080.1
HILC-59	NvitILC-04429	Nvit	XP_001607351.2
HILC-60	Amh3ILC-05415	Amh3	XP_001120452.2
HILC-60	BterILC-03859	Bter	XP_020718696.1
HILC-60	CfloILC-15336	Cflo	XP_019883622.1
HILC-60	HsalILC-15623	Hsal	XP_011144381.1
HILC-60	PcanILC-13211	Pcan	XP_014613206.1
HILC-60	PdtlILC-14245	Pdtl	PdomMRNAr1.2-01088.1
HILC-60	NvitILC-09132	Nvit	XP_001606712.2
HILC-61	Amh3ILC-00446	Amh3	XP_006563335.1
HILC-61	BterILC-13982	Bter	XP_020723547.1
HILC-61	CfloILC-18343	Cflo	XP_011261186.1
HILC-61	HsalILC-10456	Hsal	XP_019697147.1
HILC-61	PcanILC-12150	Pcan	XP_014611793.1
HILC-61	PdtlILC-16996	Pdtl	PdomMRNAr1.2-08348.1
HILC-61	NvitILC-07849	Nvit	XP_008216655.1
HILC-62	Amh3ILC-01753	Amh3	XP_006571516.1
HILC-62	BterILC-00105	Bter	XP_003392920.1
HILC-62	CfloILC-08464	Cflo	XP_011253248.1
HILC-62	HsalILC-03149	Hsal	XP_019700974.1
HILC-62	PcanILC-12628	Pcan	XP_014612432.1
HILC-62	PdtlILC-17806	Pdtl	PdomMRNAr1.2-10849.1
HILC-62	NvitILC-11194	Nvit	XP_016841744.1
HILC-63	Amh3ILC-03283	Amh3	XP_396833.4
HILC-63	BterILC-01723	Bter	XP_012176211.1
HILC-63	CfloILC-27094	Cflo	XP_019885257.1
HILC-63	HsalILC-14284	Hsal	XP_019698034.1
HILC-63	PcanILC-07937	Pcan	XP_014605790.1
HILC-63	PdtlILC-08273	Pdtl	PdomMRNAr1.2-11876.1
HILC-63	NvitILC-04128	Nvit	XP_008212428.1
HILC-64	Amh3ILC-14492	Amh3	XP_006560698.2
HILC-64	BterILC-11715	Bter	XP_012172331.1
HILC-64	CfloILC-15909	Cflo	XP_011259421.1
HILC-64	HsalILC-13125	Hsal	XP_011142153.1
HILC-64	PcanILC-11314	Pcan	XP_014610704.1
HILC-64	PdtlILC-17473	Pdtl	PdomMRNAr1.2-01094.1
HILC-64	NvitILC-11425	Nvit	XP_001606680.2
HILC-65	Amh3ILC-09527	Amh3	XP_006561799.1
HILC-65	BterILC-06160	Bter	XP_020720290.1
HILC-65	CfloILC-12533	Cflo	XP_011256804.1
HILC-65	HsalILC-23237	Hsal	XP_019700155.1
HILC-65	PcanILC-06816	Pcan	XP_014604123.1
HILC-65	PdtlILC-11198	Pdtl	PdomMRNAr1.2-11749.1
HILC-65	NvitILC-09090	Nvit	XP_001606300.1
HILC-66	Amh3ILC-10434	Amh3	XP_393700.2
HILC-66	BterILC-07393	Bter	XP_012167996.1
HILC-66	CfloILC-14979	Cflo	XP_011258618.1
HILC-66	HsalILC-17977	Hsal	XP_011146261.1
